"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2009"	"2009"	Suppressed	22011	Suppressed
	"Autauga County, AL"	"01001"	"2010"	"2010"	Suppressed	22308	Suppressed
	"Autauga County, AL"	"01001"	"2011"	"2011"	Suppressed	22510	Suppressed
	"Autauga County, AL"	"01001"	"2012"	"2012"	Suppressed	22355	Suppressed
	"Autauga County, AL"	"01001"	"2013"	"2013"	Suppressed	22124	Suppressed
	"Autauga County, AL"	"01001"	"2014"	"2014"	Suppressed	22062	Suppressed
	"Autauga County, AL"	"01001"	"2015"	"2015"	Suppressed	22085	Suppressed
	"Autauga County, AL"	"01001"	"2016"	"2016"	Suppressed	22144	Suppressed
	"Baldwin County, AL"	"01003"	"2009"	"2009"	13	73943	Unreliable
	"Baldwin County, AL"	"01003"	"2010"	"2010"	15	75009	Unreliable
	"Baldwin County, AL"	"01003"	"2011"	"2011"	Suppressed	76518	Suppressed
	"Baldwin County, AL"	"01003"	"2012"	"2012"	13	77248	Unreliable
	"Baldwin County, AL"	"01003"	"2013"	"2013"	12	78594	Unreliable
	"Baldwin County, AL"	"01003"	"2014"	"2014"	11	80125	Unreliable
	"Baldwin County, AL"	"01003"	"2015"	"2015"	23	81324	28.28
	"Baldwin County, AL"	"01003"	"2016"	"2016"	Suppressed	82832	Suppressed
	"Barbour County, AL"	"01005"	"2009"	"2009"	Suppressed	11399	Suppressed
	"Barbour County, AL"	"01005"	"2010"	"2010"	Suppressed	11262	Suppressed
	"Barbour County, AL"	"01005"	"2011"	"2011"	Suppressed	11050	Suppressed
	"Barbour County, AL"	"01005"	"2012"	"2012"	Suppressed	10943	Suppressed
	"Barbour County, AL"	"01005"	"2013"	"2013"	Suppressed	10750	Suppressed
	"Barbour County, AL"	"01005"	"2014"	"2014"	Suppressed	10514	Suppressed
	"Barbour County, AL"	"01005"	"2015"	"2015"	Suppressed	10283	Suppressed
	"Barbour County, AL"	"01005"	"2016"	"2016"	Suppressed	9954	Suppressed
	"Bibb County, AL"	"01007"	"2009"	"2009"	Suppressed	9393	Suppressed
	"Bibb County, AL"	"01007"	"2010"	"2010"	Suppressed	9503	Suppressed
	"Bibb County, AL"	"01007"	"2011"	"2011"	Suppressed	9431	Suppressed
	"Bibb County, AL"	"01007"	"2012"	"2012"	Suppressed	9331	Suppressed
	"Bibb County, AL"	"01007"	"2013"	"2013"	Suppressed	9354	Suppressed
	"Bibb County, AL"	"01007"	"2014"	"2014"	Suppressed	9321	Suppressed
	"Bibb County, AL"	"01007"	"2015"	"2015"	Suppressed	9331	Suppressed
	"Bibb County, AL"	"01007"	"2016"	"2016"	Suppressed	9240	Suppressed
	"Blount County, AL"	"01009"	"2009"	"2009"	Suppressed	23422	Suppressed
	"Blount County, AL"	"01009"	"2010"	"2010"	Suppressed	23286	Suppressed
	"Blount County, AL"	"01009"	"2011"	"2011"	Suppressed	23294	Suppressed
	"Blount County, AL"	"01009"	"2012"	"2012"	Suppressed	23147	Suppressed
	"Blount County, AL"	"01009"	"2013"	"2013"	Suppressed	23026	Suppressed
