"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2009"	"2009"	Suppressed	22011	Suppressed
	"Autauga County, AL"	"01001"	"2010"	"2010"	12	22308	Unreliable
	"Autauga County, AL"	"01001"	"2011"	"2011"	15	22510	Unreliable
	"Autauga County, AL"	"01001"	"2012"	"2012"	Suppressed	22355	Suppressed
	"Autauga County, AL"	"01001"	"2013"	"2013"	20	22124	90.40
	"Autauga County, AL"	"01001"	"2014"	"2014"	21	22062	95.19
	"Autauga County, AL"	"01001"	"2015"	"2015"	21	22085	95.09
	"Autauga County, AL"	"01001"	"2016"	"2016"	16	22144	Unreliable
	"Baldwin County, AL"	"01003"	"2009"	"2009"	42	73943	56.80
	"Baldwin County, AL"	"01003"	"2010"	"2010"	45	75009	59.99
	"Baldwin County, AL"	"01003"	"2011"	"2011"	51	76518	66.65
	"Baldwin County, AL"	"01003"	"2012"	"2012"	48	77248	62.14
	"Baldwin County, AL"	"01003"	"2013"	"2013"	61	78594	77.61
	"Baldwin County, AL"	"01003"	"2014"	"2014"	66	80125	82.37
	"Baldwin County, AL"	"01003"	"2015"	"2015"	73	81324	89.76
	"Baldwin County, AL"	"01003"	"2016"	"2016"	66	82832	79.68
	"Barbour County, AL"	"01005"	"2009"	"2009"	10	11399	Unreliable
	"Barbour County, AL"	"01005"	"2010"	"2010"	Suppressed	11262	Suppressed
	"Barbour County, AL"	"01005"	"2011"	"2011"	Suppressed	11050	Suppressed
	"Barbour County, AL"	"01005"	"2012"	"2012"	Suppressed	10943	Suppressed
	"Barbour County, AL"	"01005"	"2013"	"2013"	Suppressed	10750	Suppressed
	"Barbour County, AL"	"01005"	"2014"	"2014"	Suppressed	10514	Suppressed
	"Barbour County, AL"	"01005"	"2015"	"2015"	Suppressed	10283	Suppressed
	"Barbour County, AL"	"01005"	"2016"	"2016"	Suppressed	9954	Suppressed
	"Bibb County, AL"	"01007"	"2009"	"2009"	16	9393	Unreliable
	"Bibb County, AL"	"01007"	"2010"	"2010"	14	9503	Unreliable
	"Bibb County, AL"	"01007"	"2011"	"2011"	Suppressed	9431	Suppressed
	"Bibb County, AL"	"01007"	"2012"	"2012"	Suppressed	9331	Suppressed
	"Bibb County, AL"	"01007"	"2013"	"2013"	Suppressed	9354	Suppressed
	"Bibb County, AL"	"01007"	"2014"	"2014"	Suppressed	9321	Suppressed
	"Bibb County, AL"	"01007"	"2015"	"2015"	11	9331	Unreliable
	"Bibb County, AL"	"01007"	"2016"	"2016"	Suppressed	9240	Suppressed
	"Blount County, AL"	"01009"	"2009"	"2009"	15	23422	Unreliable
	"Blount County, AL"	"01009"	"2010"	"2010"	12	23286	Unreliable
	"Blount County, AL"	"01009"	"2011"	"2011"	18	23294	Unreliable
	"Blount County, AL"	"01009"	"2012"	"2012"	16	23147	Unreliable
	"Blount County, AL"	"01009"	"2013"	"2013"	16	23026	Unreliable
	"Blount County, AL"	"01009"	"2014"	"2014"	24	22902	104.79
	"Blount County, AL"	"01009"	"2015"	"2015"	14	22857	Unreliable
	"Blount County, AL"	"01009"	"2016"	"2016"	15	22740	Unreliable
	"Bullock County, AL"	"01011"	"2009"	"2009"	Suppressed	4420	Suppressed
	"Bullock County, AL"	"01011"	"2010"	"2010"	Suppressed	4466	Suppressed
	"Bullock County, AL"	"01011"	"2011"	"2011"	Suppressed	4363	Suppressed
	"Bullock County, AL"	"01011"	"2012"	"2012"	Suppressed	4252	Suppressed
	"Bullock County, AL"	"01011"	"2013"	"2013"	Suppressed	4326	Suppressed
	"Bullock County, AL"	"01011"	"2014"	"2014"	Suppressed	4284	Suppressed
	"Bullock County, AL"	"01011"	"2015"	"2015"	Suppressed	4325	Suppressed
	"Bullock County, AL"	"01011"	"2016"	"2016"	Suppressed	4075	Suppressed
	"Butler County, AL"	"01013"	"2009"	"2009"	Suppressed	8156	Suppressed
	"Butler County, AL"	"01013"	"2010"	"2010"	Suppressed	8182	Suppressed
	"Butler County, AL"	"01013"	"2011"	"2011"	Suppressed	8103	Suppressed
	"Butler County, AL"	"01013"	"2012"	"2012"	Suppressed	7930	Suppressed
	"Butler County, AL"	"01013"	"2013"	"2013"	Suppressed	7818	Suppressed
