"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2009"	"2009"	412	54135	761.06	854.73	0.00%
	"Autauga County, AL"	"01001"	"2010"	"2010"	433	54571	793.46	889.28	0.00%
	"Autauga County, AL"	"01001"	"2011"	"2011"	456	55267	825.09	889.97	0.00%
	"Autauga County, AL"	"01001"	"2012"	"2012"	514	55514	925.89	974.63	0.00%
	"Autauga County, AL"	"01001"	"2013"	"2013"	535	55246	968.40	986.88	0.00%
	"Autauga County, AL"	"01001"	"2014"	"2014"	482	55395	870.11	853.05	0.00%
	"Autauga County, AL"	"01001"	"2015"	"2015"	523	55347	944.95	918.00	0.00%
	"Autauga County, AL"	"01001"	"2016"	"2016"	520	55416	938.36	884.39	0.00%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	1708	179406	952.03	802.32	0.01%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	1798	182265	986.48	814.11	0.01%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	1852	186717	991.88	810.44	0.01%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	1801	190790	943.97	757.41	0.01%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	1973	195540	1009.00	798.00	0.01%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	1952	200111	975.46	760.96	0.01%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	2092	203709	1026.96	783.69	0.01%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	1974	208563	946.48	716.92	0.01%
	"Barbour County, AL"	"01005"	"2009"	"2009"	302	27657	1091.95	988.43	0.00%
	"Barbour County, AL"	"01005"	"2010"	"2010"	283	27457	1030.70	943.90	0.00%
	"Barbour County, AL"	"01005"	"2011"	"2011"	299	27119	1102.55	994.11	0.00%
	"Barbour County, AL"	"01005"	"2012"	"2012"	272	27201	999.96	880.36	0.00%
	"Barbour County, AL"	"01005"	"2013"	"2013"	278	27076	1026.74	886.31	0.00%
	"Barbour County, AL"	"01005"	"2014"	"2014"	298	26887	1108.34	931.36	0.00%
	"Barbour County, AL"	"01005"	"2015"	"2015"	295	26489	1113.67	926.47	0.00%
	"Barbour County, AL"	"01005"	"2016"	"2016"	256	25965	985.94	800.68	0.00%
	"Bibb County, AL"	"01007"	"2009"	"2009"	214	22941	932.83	964.37	0.00%
	"Bibb County, AL"	"01007"	"2010"	"2010"	225	22915	981.89	994.40	0.00%
	"Bibb County, AL"	"01007"	"2011"	"2011"	247	22766	1084.95	1061.23	0.00%
	"Bibb County, AL"	"01007"	"2012"	"2012"	250	22597	1106.34	1076.92	0.00%
	"Bibb County, AL"	"01007"	"2013"	"2013"	242	22512	1074.98	1024.97	0.00%
	"Bibb County, AL"	"01007"	"2014"	"2014"	237	22506	1053.05	981.61	0.00%
	"Bibb County, AL"	"01007"	"2015"	"2015"	238	22583	1053.89	954.58	0.00%
	"Bibb County, AL"	"01007"	"2016"	"2016"	239	22643	1055.51	927.67	0.00%
	"Blount County, AL"	"01009"	"2009"	"2009"	552	57341	962.66	904.32	0.00%
	"Blount County, AL"	"01009"	"2010"	"2010"	542	57322	945.54	890.70	0.00%
	"Blount County, AL"	"01009"	"2011"	"2011"	598	57677	1036.81	951.43	0.00%
