"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2009"	"2009"	128	54135	236.45	275.95	0.00%
	"Autauga County, AL"	"01001"	"2010"	"2010"	128	54571	234.56	270.83	0.00%
	"Autauga County, AL"	"01001"	"2011"	"2011"	121	55267	218.94	232.88	0.00%
	"Autauga County, AL"	"01001"	"2012"	"2012"	116	55514	208.96	232.23	0.00%
	"Autauga County, AL"	"01001"	"2013"	"2013"	133	55246	240.74	251.90	0.00%
	"Autauga County, AL"	"01001"	"2014"	"2014"	114	55395	205.79	208.35	0.00%
	"Autauga County, AL"	"01001"	"2015"	"2015"	111	55347	200.55	196.75	0.00%
	"Autauga County, AL"	"01001"	"2016"	"2016"	118	55416	212.93	206.60	0.00%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	439	179406	244.70	203.11	0.01%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	453	182265	248.54	203.98	0.01%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	465	186717	249.04	203.00	0.01%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	433	190790	226.95	178.60	0.01%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	558	195540	285.36	221.43	0.01%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	465	200111	232.37	179.32	0.01%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	515	203709	252.81	192.66	0.01%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	492	208563	235.90	174.08	0.01%
	"Barbour County, AL"	"01005"	"2009"	"2009"	106	27657	383.27	343.92	0.00%
	"Barbour County, AL"	"01005"	"2010"	"2010"	96	27457	349.64	320.16	0.00%
	"Barbour County, AL"	"01005"	"2011"	"2011"	109	27119	401.93	361.85	0.00%
	"Barbour County, AL"	"01005"	"2012"	"2012"	67	27201	246.31	217.84	0.00%
	"Barbour County, AL"	"01005"	"2013"	"2013"	95	27076	350.86	290.98	0.00%
	"Barbour County, AL"	"01005"	"2014"	"2014"	90	26887	334.73	275.34	0.00%
	"Barbour County, AL"	"01005"	"2015"	"2015"	85	26489	320.89	258.80	0.00%
	"Barbour County, AL"	"01005"	"2016"	"2016"	67	25965	258.04	202.73	0.00%
	"Bibb County, AL"	"01007"	"2009"	"2009"	53	22941	231.03	237.73	0.00%
	"Bibb County, AL"	"01007"	"2010"	"2010"	68	22915	296.75	310.53	0.00%
	"Bibb County, AL"	"01007"	"2011"	"2011"	76	22766	333.83	329.35	0.00%
	"Bibb County, AL"	"01007"	"2012"	"2012"	70	22597	309.78	305.14	0.00%
	"Bibb County, AL"	"01007"	"2013"	"2013"	53	22512	235.43	223.00	0.00%
	"Bibb County, AL"	"01007"	"2014"	"2014"	57	22506	253.27	224.68	0.00%
	"Bibb County, AL"	"01007"	"2015"	"2015"	64	22583	283.40	251.12	0.00%
	"Bibb County, AL"	"01007"	"2016"	"2016"	63	22643	278.23	239.27	0.00%
	"Blount County, AL"	"01009"	"2009"	"2009"	139	57341	242.41	225.25	0.00%
	"Blount County, AL"	"01009"	"2010"	"2010"	119	57322	207.60	197.86	0.00%
	"Blount County, AL"	"01009"	"2011"	"2011"	173	57677	299.95	277.98	0.00%
	"Blount County, AL"	"01009"	"2012"	"2012"	125	57826	216.17	189.16	0.00%
	"Blount County, AL"	"01009"	"2013"	"2013"	129	57872	222.91	193.40	0.00%
	"Blount County, AL"	"01009"	"2014"	"2014"	143	57719	247.75	208.13	0.00%
	"Blount County, AL"	"01009"	"2015"	"2015"	169	57673	293.03	245.69	0.00%
	"Blount County, AL"	"01009"	"2016"	"2016"	154	57704	266.88	220.07	0.00%
	"Bullock County, AL"	"01011"	"2009"	"2009"	37	10987	336.76	280.19	0.00%
	"Bullock County, AL"	"01011"	"2010"	"2010"	39	10914	357.34	315.64	0.00%
	"Bullock County, AL"	"01011"	"2011"	"2011"	34	10542	322.52	294.90	0.00%
	"Bullock County, AL"	"01011"	"2012"	"2012"	31	10474	295.97	253.19	0.00%
	"Bullock County, AL"	"01011"	"2013"	"2013"	32	10639	300.78	262.79	0.00%
	"Bullock County, AL"	"01011"	"2014"	"2014"	20	10764	185.80	160.72	0.00%
	"Bullock County, AL"	"01011"	"2015"	"2015"	34	10696	317.88	277.78	0.00%
	"Bullock County, AL"	"01011"	"2016"	"2016"	31	10362	299.17	236.79	0.00%
	"Butler County, AL"	"01013"	"2009"	"2009"	60	20867	287.54	215.65	0.00%
	"Butler County, AL"	"01013"	"2010"	"2010"	88	20947	420.11	308.35	0.00%
	"Butler County, AL"	"01013"	"2011"	"2011"	86	20650	416.46	302.19	0.00%
	"Butler County, AL"	"01013"	"2012"	"2012"	78	20307	384.10	280.97	0.00%
	"Butler County, AL"	"01013"	"2013"	"2013"	56	20265	276.34	185.45	0.00%
	"Butler County, AL"	"01013"	"2014"	"2014"	80	20296	394.17	272.43	0.00%
	"Butler County, AL"	"01013"	"2015"	"2015"	76	20154	377.10	267.36	0.00%
	"Butler County, AL"	"01013"	"2016"	"2016"	70	19998	350.04	246.20	0.00%
	"Calhoun County, AL"	"01015"	"2009"	"2009"	379	118363	320.20	294.53	0.01%
	"Calhoun County, AL"	"01015"	"2010"	"2010"	384	118572	323.85	295.27	0.01%
	"Calhoun County, AL"	"01015"	"2011"	"2011"	363	117797	308.16	277.77	0.01%
	"Calhoun County, AL"	"01015"	"2012"	"2012"	385	117296	328.23	287.09	0.01%
	"Calhoun County, AL"	"01015"	"2013"	"2013"	392	116736	335.80	291.40	0.01%
	"Calhoun County, AL"	"01015"	"2014"	"2014"	411	115916	354.57	295.39	0.01%
	"Calhoun County, AL"	"01015"	"2015"	"2015"	453	115620	391.80	331.62	0.01%
	"Calhoun County, AL"	"01015"	"2016"	"2016"	454	114611	396.12	329.80	0.01%
	"Chambers County, AL"	"01017"	"2009"	"2009"	109	34384	317.01	241.84	0.00%
	"Chambers County, AL"	"01017"	"2010"	"2010"	118	34215	344.88	265.92	0.00%
	"Chambers County, AL"	"01017"	"2011"	"2011"	112	33939	330.00	254.16	0.00%
	"Chambers County, AL"	"01017"	"2012"	"2012"	122	34064	358.15	272.73	0.00%
	"Chambers County, AL"	"01017"	"2013"	"2013"	110	34162	322.00	234.18	0.00%
	"Chambers County, AL"	"01017"	"2014"	"2014"	95	34076	278.79	200.19	0.00%
	"Chambers County, AL"	"01017"	"2015"	"2015"	82	34123	240.31	176.64	0.00%
	"Chambers County, AL"	"01017"	"2016"	"2016"	100	33843	295.48	211.47	0.00%
	"Cherokee County, AL"	"01019"	"2009"	"2009"	78	25854	301.69	254.66	0.00%
	"Cherokee County, AL"	"01019"	"2010"	"2010"	81	25989	311.67	253.97	0.00%
	"Cherokee County, AL"	"01019"	"2011"	"2011"	73	26057	280.16	214.54	0.00%
	"Cherokee County, AL"	"01019"	"2012"	"2012"	73	26021	280.54	219.43	0.00%
	"Cherokee County, AL"	"01019"	"2013"	"2013"	68	26203	259.51	191.73	0.00%
	"Cherokee County, AL"	"01019"	"2014"	"2014"	81	26037	311.10	242.58	0.00%
	"Cherokee County, AL"	"01019"	"2015"	"2015"	107	25859	413.78	299.76	0.00%
	"Cherokee County, AL"	"01019"	"2016"	"2016"	91	25725	353.74	245.00	0.00%
	"Chilton County, AL"	"01021"	"2009"	"2009"	124	43484	285.16	280.86	0.00%
	"Chilton County, AL"	"01021"	"2010"	"2010"	112	43643	256.63	248.85	0.00%
	"Chilton County, AL"	"01021"	"2011"	"2011"	129	43895	293.88	278.38	0.00%
	"Chilton County, AL"	"01021"	"2012"	"2012"	130	43819	296.67	275.32	0.00%
	"Chilton County, AL"	"01021"	"2013"	"2013"	151	43951	343.56	310.06	0.00%
	"Chilton County, AL"	"01021"	"2014"	"2014"	124	43931	282.26	257.19	0.00%
	"Chilton County, AL"	"01021"	"2015"	"2015"	135	43943	307.22	269.22	0.00%
	"Chilton County, AL"	"01021"	"2016"	"2016"	153	43941	348.19	295.88	0.00%
	"Choctaw County, AL"	"01023"	"2009"	"2009"	64	13976	457.93	358.99	0.00%
	"Choctaw County, AL"	"01023"	"2010"	"2010"	53	13859	382.42	293.42	0.00%
	"Choctaw County, AL"	"01023"	"2011"	"2011"	49	13609	360.06	278.46	0.00%
	"Choctaw County, AL"	"01023"	"2012"	"2012"	58	13633	425.44	310.95	0.00%
	"Choctaw County, AL"	"01023"	"2013"	"2013"	65	13426	484.14	341.12	0.00%
	"Choctaw County, AL"	"01023"	"2014"	"2014"	51	13323	382.80	264.41	0.00%
	"Choctaw County, AL"	"01023"	"2015"	"2015"	55	13170	417.62	272.78	0.00%
	"Choctaw County, AL"	"01023"	"2016"	"2016"	57	12993	438.70	291.49	0.00%
	"Clarke County, AL"	"01025"	"2009"	"2009"	62	26038	238.11	203.64	0.00%
	"Clarke County, AL"	"01025"	"2010"	"2010"	71	25833	274.84	225.99	0.00%
	"Clarke County, AL"	"01025"	"2011"	"2011"	76	25695	295.78	234.62	0.00%
	"Clarke County, AL"	"01025"	"2012"	"2012"	66	25161	262.31	212.31	0.00%
	"Clarke County, AL"	"01025"	"2013"	"2013"	86	25207	341.18	267.72	0.00%
	"Clarke County, AL"	"01025"	"2014"	"2014"	74	24945	296.65	224.42	0.00%
	"Clarke County, AL"	"01025"	"2015"	"2015"	75	24675	303.95	228.27	0.00%
	"Clarke County, AL"	"01025"	"2016"	"2016"	92	24392	377.17	261.61	0.00%
	"Clay County, AL"	"01027"	"2009"	"2009"	63	14006	449.81	343.66	0.00%
	"Clay County, AL"	"01027"	"2010"	"2010"	55	13932	394.77	295.67	0.00%
	"Clay County, AL"	"01027"	"2011"	"2011"	73	13862	526.62	385.52	0.00%
	"Clay County, AL"	"01027"	"2012"	"2012"	55	13435	409.38	284.03	0.00%
	"Clay County, AL"	"01027"	"2013"	"2013"	54	13486	400.42	284.63	0.00%
	"Clay County, AL"	"01027"	"2014"	"2014"	59	13552	435.36	327.64	0.00%
	"Clay County, AL"	"01027"	"2015"	"2015"	63	13555	464.77	319.16	0.00%
	"Clay County, AL"	"01027"	"2016"	"2016"	59	13492	437.30	303.88	0.00%
	"Cleburne County, AL"	"01029"	"2009"	"2009"	57	14918	382.09	335.41	0.00%
	"Cleburne County, AL"	"01029"	"2010"	"2010"	64	14972	427.46	366.13	0.00%
	"Cleburne County, AL"	"01029"	"2011"	"2011"	43	14835	289.86	240.29	0.00%
	"Cleburne County, AL"	"01029"	"2012"	"2012"	38	14832	256.20	202.95	0.00%
	"Cleburne County, AL"	"01029"	"2013"	"2013"	50	14994	333.47	264.86	0.00%
	"Cleburne County, AL"	"01029"	"2014"	"2014"	56	15080	371.35	294.54	0.00%
	"Cleburne County, AL"	"01029"	"2015"	"2015"	64	15018	426.16	332.07	0.00%
	"Cleburne County, AL"	"01029"	"2016"	"2016"	63	14924	422.14	312.11	0.00%
	"Coffee County, AL"	"01031"	"2009"	"2009"	157	49440	317.56	288.16	0.00%
	"Coffee County, AL"	"01031"	"2010"	"2010"	152	49948	304.32	275.28	0.00%
	"Coffee County, AL"	"01031"	"2011"	"2011"	120	50526	237.50	211.95	0.00%
	"Coffee County, AL"	"01031"	"2012"	"2012"	133	51252	259.50	230.41	0.00%
	"Coffee County, AL"	"01031"	"2013"	"2013"	106	50938	208.10	180.88	0.00%
	"Coffee County, AL"	"01031"	"2014"	"2014"	126	50909	247.50	211.76	0.00%
	"Coffee County, AL"	"01031"	"2015"	"2015"	128	51211	249.95	216.84	0.00%
	"Coffee County, AL"	"01031"	"2016"	"2016"	131	51226	255.73	216.87	0.00%
	"Colbert County, AL"	"01033"	"2009"	"2009"	169	54426	310.51	236.52	0.00%
	"Colbert County, AL"	"01033"	"2010"	"2010"	200	54428	367.46	288.65	0.00%
	"Colbert County, AL"	"01033"	"2011"	"2011"	197	54512	361.39	276.49	0.00%
	"Colbert County, AL"	"01033"	"2012"	"2012"	184	54446	337.95	255.93	0.00%
	"Colbert County, AL"	"01033"	"2013"	"2013"	205	54520	376.01	282.12	0.00%
	"Colbert County, AL"	"01033"	"2014"	"2014"	219	54543	401.52	301.12	0.00%
	"Colbert County, AL"	"01033"	"2015"	"2015"	207	54354	380.84	278.05	0.00%
	"Colbert County, AL"	"01033"	"2016"	"2016"	161	54216	296.96	213.49	0.00%
	"Conecuh County, AL"	"01035"	"2009"	"2009"	49	13274	369.14	291.90	0.00%
	"Conecuh County, AL"	"01035"	"2010"	"2010"	36	13228	272.15	209.22	0.00%
	"Conecuh County, AL"	"01035"	"2011"	"2011"	43	13105	328.12	238.81	0.00%
	"Conecuh County, AL"	"01035"	"2012"	"2012"	58	12981	446.81	311.27	0.00%
	"Conecuh County, AL"	"01035"	"2013"	"2013"	56	12887	434.55	312.17	0.00%
	"Conecuh County, AL"	"01035"	"2014"	"2014"	44	12670	347.28	225.92	0.00%
	"Conecuh County, AL"	"01035"	"2015"	"2015"	40	12672	315.66	215.75	0.00%
	"Conecuh County, AL"	"01035"	"2016"	"2016"	40	12395	322.71	233.26	0.00%
	"Coosa County, AL"	"01037"	"2009"	"2009"	27	11410	236.63	206.83	0.00%
	"Coosa County, AL"	"01037"	"2010"	"2010"	35	11539	303.32	242.36	0.00%
	"Coosa County, AL"	"01037"	"2011"	"2011"	37	10713	345.37	325.31	0.00%
	"Coosa County, AL"	"01037"	"2012"	"2012"	24	10966	218.86	166.17	0.00%
	"Coosa County, AL"	"01037"	"2013"	"2013"	39	10898	357.86	269.17	0.00%
	"Coosa County, AL"	"01037"	"2014"	"2014"	26	10886	238.84	181.47	0.00%
	"Coosa County, AL"	"01037"	"2015"	"2015"	39	10724	363.67	267.54	0.00%
	"Coosa County, AL"	"01037"	"2016"	"2016"	41	10581	387.49	293.35	0.00%
	"Covington County, AL"	"01039"	"2009"	"2009"	129	37648	342.65	252.07	0.00%
