"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2009"	"2009"	20	54135	36.94	48.22	0.00%
	"Autauga County, AL"	"01001"	"2010"	"2010"	17	54571	Unreliable	Unreliable	0.00%
	"Autauga County, AL"	"01001"	"2011"	"2011"	26	55267	47.04	53.98	0.00%
	"Autauga County, AL"	"01001"	"2012"	"2012"	29	55514	52.24	55.74	0.00%
	"Autauga County, AL"	"01001"	"2013"	"2013"	24	55246	43.44	45.45	0.00%
	"Autauga County, AL"	"01001"	"2014"	"2014"	24	55395	43.33	43.68	0.00%
	"Autauga County, AL"	"01001"	"2015"	"2015"	29	55347	52.40	49.52	0.00%
	"Autauga County, AL"	"01001"	"2016"	"2016"	36	55416	64.96	65.01	0.00%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	106	179406	59.08	50.48	0.01%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	115	182265	63.09	52.89	0.01%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	110	186717	58.91	47.74	0.01%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	107	190790	56.08	44.47	0.01%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	90	195540	46.03	36.07	0.01%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	104	200111	51.97	40.47	0.01%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	114	203709	55.96	42.12	0.01%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	110	208563	52.74	39.99	0.01%
	"Barbour County, AL"	"01005"	"2009"	"2009"	Suppressed	27657	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2010"	"2010"	18	27457	Unreliable	Unreliable	0.00%
	"Barbour County, AL"	"01005"	"2011"	"2011"	15	27119	Unreliable	Unreliable	0.00%
	"Barbour County, AL"	"01005"	"2012"	"2012"	21	27201	77.20	66.93	0.00%
	"Barbour County, AL"	"01005"	"2013"	"2013"	15	27076	Unreliable	Unreliable	0.00%
	"Barbour County, AL"	"01005"	"2014"	"2014"	11	26887	Unreliable	Unreliable	0.00%
	"Barbour County, AL"	"01005"	"2015"	"2015"	20	26489	75.50	61.01	0.00%
	"Barbour County, AL"	"01005"	"2016"	"2016"	20	25965	77.03	62.09	0.00%
	"Bibb County, AL"	"01007"	"2009"	"2009"	11	22941	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2010"	"2010"	11	22915	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2011"	"2011"	15	22766	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2012"	"2012"	15	22597	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2013"	"2013"	14	22512	Unreliable	Unreliable	0.00%
