"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2009"	"2009"	25	54135	46.18	47.18	0.00%
	"Autauga County, AL"	"01001"	"2010"	"2010"	24	54571	43.98	45.55	0.00%
	"Autauga County, AL"	"01001"	"2011"	"2011"	39	55267	70.57	76.25	0.00%
	"Autauga County, AL"	"01001"	"2012"	"2012"	22	55514	39.63	39.99	0.00%
	"Autauga County, AL"	"01001"	"2013"	"2013"	32	55246	57.92	57.87	0.00%
	"Autauga County, AL"	"01001"	"2014"	"2014"	27	55395	48.74	48.86	0.00%
	"Autauga County, AL"	"01001"	"2015"	"2015"	24	55347	43.36	46.08	0.00%
	"Autauga County, AL"	"01001"	"2016"	"2016"	30	55416	54.14	55.58	0.00%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	88	179406	49.05	47.24	0.01%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	85	182265	46.64	45.47	0.01%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	89	186717	47.67	44.66	0.01%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	86	190790	45.08	43.44	0.01%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	82	195540	41.94	41.51	0.01%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	101	200111	50.47	48.52	0.01%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	106	203709	52.04	48.15	0.01%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	98	208563	46.99	45.74	0.01%
	"Barbour County, AL"	"01005"	"2009"	"2009"	16	27657	Unreliable	Unreliable	0.00%
	"Barbour County, AL"	"01005"	"2010"	"2010"	11	27457	Unreliable	Unreliable	0.00%
	"Barbour County, AL"	"01005"	"2011"	"2011"	12	27119	Unreliable	Unreliable	0.00%
	"Barbour County, AL"	"01005"	"2012"	"2012"	Suppressed	27201	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2013"	"2013"	13	27076	Unreliable	Unreliable	0.00%
	"Barbour County, AL"	"01005"	"2014"	"2014"	13	26887	Unreliable	Unreliable	0.00%
	"Barbour County, AL"	"01005"	"2015"	"2015"	16	26489	Unreliable	Unreliable	0.00%
	"Barbour County, AL"	"01005"	"2016"	"2016"	10	25965	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2009"	"2009"	13	22941	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2010"	"2010"	15	22915	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2011"	"2011"	11	22766	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2012"	"2012"	11	22597	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2013"	"2013"	13	22512	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2014"	"2014"	15	22506	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2015"	"2015"	11	22583	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2016"	"2016"	26	22643	114.83	106.54	0.00%
	"Blount County, AL"	"01009"	"2009"	"2009"	36	57341	62.78	63.28	0.00%
	"Blount County, AL"	"01009"	"2010"	"2010"	30	57322	52.34	53.11	0.00%
	"Blount County, AL"	"01009"	"2011"	"2011"	31	57677	53.75	55.23	0.00%
	"Blount County, AL"	"01009"	"2012"	"2012"	45	57826	77.82	77.74	0.00%
	"Blount County, AL"	"01009"	"2013"	"2013"	40	57872	69.12	68.48	0.00%
	"Blount County, AL"	"01009"	"2014"	"2014"	39	57719	67.57	70.05	0.00%
	"Blount County, AL"	"01009"	"2015"	"2015"	48	57673	83.23	76.59	0.00%
	"Blount County, AL"	"01009"	"2016"	"2016"	54	57704	93.58	96.06	0.01%
	"Bullock County, AL"	"01011"	"2009"	"2009"	Suppressed	10987	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2010"	"2010"	Suppressed	10914	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2011"	"2011"	Suppressed	10542	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2012"	"2012"	Suppressed	10474	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2013"	"2013"	Suppressed	10639	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2014"	"2014"	10	10764	Unreliable	Unreliable	0.00%
	"Bullock County, AL"	"01011"	"2015"	"2015"	11	10696	Unreliable	Unreliable	0.00%
	"Bullock County, AL"	"01011"	"2016"	"2016"	10	10362	Unreliable	Unreliable	0.00%
	"Butler County, AL"	"01013"	"2009"	"2009"	11	20867	Unreliable	Unreliable	0.00%
	"Butler County, AL"	"01013"	"2010"	"2010"	Suppressed	20947	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2011"	"2011"	13	20650	Unreliable	Unreliable	0.00%
	"Butler County, AL"	"01013"	"2012"	"2012"	13	20307	Unreliable	Unreliable	0.00%
	"Butler County, AL"	"01013"	"2013"	"2013"	Suppressed	20265	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2014"	"2014"	14	20296	Unreliable	Unreliable	0.00%
	"Butler County, AL"	"01013"	"2015"	"2015"	15	20154	Unreliable	Unreliable	0.00%
	"Butler County, AL"	"01013"	"2016"	"2016"	12	19998	Unreliable	Unreliable	0.00%
