"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2009"	"2009"	13	54135	Unreliable	Unreliable	0.00%
	"Autauga County, AL"	"01001"	"2010"	"2010"	14	54571	Unreliable	Unreliable	0.00%
	"Autauga County, AL"	"01001"	"2011"	"2011"	27	55267	48.85	54.63	0.00%
	"Autauga County, AL"	"01001"	"2012"	"2012"	13	55514	Unreliable	Unreliable	0.00%
	"Autauga County, AL"	"01001"	"2013"	"2013"	19	55246	Unreliable	Unreliable	0.00%
	"Autauga County, AL"	"01001"	"2014"	"2014"	13	55395	Unreliable	Unreliable	0.00%
	"Autauga County, AL"	"01001"	"2015"	"2015"	15	55347	Unreliable	Unreliable	0.00%
	"Autauga County, AL"	"01001"	"2016"	"2016"	14	55416	Unreliable	Unreliable	0.00%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	56	179406	31.21	29.74	0.01%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	55	182265	30.18	28.57	0.01%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	57	186717	30.53	28.22	0.01%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	62	190790	32.50	30.59	0.01%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	47	195540	24.04	23.64	0.01%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	66	200111	32.98	31.43	0.01%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	70	203709	34.36	31.68	0.01%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	61	208563	29.25	26.28	0.01%
	"Barbour County, AL"	"01005"	"2009"	"2009"	Suppressed	27657	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2010"	"2010"	Suppressed	27457	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2011"	"2011"	Suppressed	27119	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2012"	"2012"	Suppressed	27201	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2013"	"2013"	Suppressed	27076	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2014"	"2014"	Suppressed	26887	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2015"	"2015"	Suppressed	26489	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2016"	"2016"	Suppressed	25965	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2009"	"2009"	11	22941	Unreliable	Unreliable	0.00%
	"Bibb County, AL"	"01007"	"2010"	"2010"	Suppressed	22915	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2011"	"2011"	Suppressed	22766	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2012"	"2012"	Suppressed	22597	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2013"	"2013"	Suppressed	22512	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2014"	"2014"	Suppressed	22506	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2015"	"2015"	Suppressed	22583	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2016"	"2016"	16	22643	Unreliable	Unreliable	0.00%
	"Blount County, AL"	"01009"	"2009"	"2009"	24	57341	41.85	42.18	0.00%
	"Blount County, AL"	"01009"	"2010"	"2010"	19	57322	Unreliable	Unreliable	0.00%
	"Blount County, AL"	"01009"	"2011"	"2011"	18	57677	Unreliable	Unreliable	0.00%
	"Blount County, AL"	"01009"	"2012"	"2012"	32	57826	55.34	56.02	0.00%
	"Blount County, AL"	"01009"	"2013"	"2013"	26	57872	44.93	41.69	0.00%
	"Blount County, AL"	"01009"	"2014"	"2014"	28	57719	48.51	49.20	0.00%
	"Blount County, AL"	"01009"	"2015"	"2015"	32	57673	55.49	52.78	0.00%
	"Blount County, AL"	"01009"	"2016"	"2016"	35	57704	60.65	60.33	0.00%
	"Bullock County, AL"	"01011"	"2009"	"2009"	Suppressed	10987	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2010"	"2010"	Suppressed	10914	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2011"	"2011"	Suppressed	10542	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2012"	"2012"	Suppressed	10474	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2013"	"2013"	Suppressed	10639	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2014"	"2014"	Suppressed	10764	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2015"	"2015"	Suppressed	10696	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2016"	"2016"	Suppressed	10362	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2009"	"2009"	Suppressed	20867	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2010"	"2010"	Suppressed	20947	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2011"	"2011"	Suppressed	20650	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2012"	"2012"	Suppressed	20307	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2013"	"2013"	Suppressed	20265	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2014"	"2014"	Suppressed	20296	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2015"	"2015"	Suppressed	20154	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2016"	"2016"	Suppressed	19998	Suppressed	Suppressed	Suppressed
	"Calhoun County, AL"	"01015"	"2009"	"2009"	33	118363	27.88	28.20	0.00%
	"Calhoun County, AL"	"01015"	"2010"	"2010"	39	118572	32.89	33.73	0.01%
	"Calhoun County, AL"	"01015"	"2011"	"2011"	56	117797	47.54	44.62	0.01%
	"Calhoun County, AL"	"01015"	"2012"	"2012"	29	117296	24.72	23.63	0.00%
	"Calhoun County, AL"	"01015"	"2013"	"2013"	27	116736	23.13	21.71	0.00%
	"Calhoun County, AL"	"01015"	"2014"	"2014"	40	115916	34.51	33.23	0.01%
	"Calhoun County, AL"	"01015"	"2015"	"2015"	37	115620	32.00	32.60	0.00%
	"Calhoun County, AL"	"01015"	"2016"	"2016"	31	114611	27.05	24.69	0.00%
	"Chambers County, AL"	"01017"	"2009"	"2009"	Suppressed	34384	Suppressed	Suppressed	Suppressed
	"Chambers County, AL"	"01017"	"2010"	"2010"	12	34215	Unreliable	Unreliable	0.00%
	"Chambers County, AL"	"01017"	"2011"	"2011"	Suppressed	33939	Suppressed	Suppressed	Suppressed
	"Chambers County, AL"	"01017"	"2012"	"2012"	13	34064	Unreliable	Unreliable	0.00%
	"Chambers County, AL"	"01017"	"2013"	"2013"	11	34162	Unreliable	Unreliable	0.00%
