"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"2009"	"2009"	Suppressed	54135	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2010"	"2010"	12	54571	Unreliable	Unreliable	0.00%
	"Autauga County, AL"	"01001"	"2011"	"2011"	12	55267	Unreliable	Unreliable	0.00%
	"Autauga County, AL"	"01001"	"2012"	"2012"	12	55514	Unreliable	Unreliable	0.00%
	"Autauga County, AL"	"01001"	"2013"	"2013"	11	55246	Unreliable	Unreliable	0.00%
	"Autauga County, AL"	"01001"	"2014"	"2014"	Suppressed	55395	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2015"	"2015"	Suppressed	55347	Suppressed	Suppressed	Suppressed
	"Autauga County, AL"	"01001"	"2016"	"2016"	14	55416	Unreliable	Unreliable	0.00%
	"Baldwin County, AL"	"01003"	"2009"	"2009"	38	179406	21.18	20.03	0.01%
	"Baldwin County, AL"	"01003"	"2010"	"2010"	31	182265	17.01	16.62	0.01%
	"Baldwin County, AL"	"01003"	"2011"	"2011"	34	186717	18.21	16.70	0.01%
	"Baldwin County, AL"	"01003"	"2012"	"2012"	45	190790	23.59	22.53	0.01%
	"Baldwin County, AL"	"01003"	"2013"	"2013"	37	195540	18.92	19.15	0.01%
	"Baldwin County, AL"	"01003"	"2014"	"2014"	38	200111	18.99	18.46	0.01%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	45	203709	22.09	21.77	0.01%
	"Baldwin County, AL"	"01003"	"2016"	"2016"	42	208563	20.14	19.74	0.01%
	"Barbour County, AL"	"01005"	"2009"	"2009"	Suppressed	27657	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2010"	"2010"	Suppressed	27457	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2011"	"2011"	Suppressed	27119	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2012"	"2012"	Suppressed	27201	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2013"	"2013"	Suppressed	27076	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2014"	"2014"	Suppressed	26887	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2015"	"2015"	Suppressed	26489	Suppressed	Suppressed	Suppressed
	"Barbour County, AL"	"01005"	"2016"	"2016"	Suppressed	25965	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2009"	"2009"	Suppressed	22941	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2010"	"2010"	Suppressed	22915	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2011"	"2011"	Suppressed	22766	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2012"	"2012"	Suppressed	22597	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2013"	"2013"	Suppressed	22512	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2014"	"2014"	Suppressed	22506	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2015"	"2015"	Suppressed	22583	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	"2016"	"2016"	Suppressed	22643	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	"2009"	"2009"	10	57341	Unreliable	Unreliable	0.00%
	"Blount County, AL"	"01009"	"2010"	"2010"	11	57322	Unreliable	Unreliable	0.00%
	"Blount County, AL"	"01009"	"2011"	"2011"	Suppressed	57677	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	"2012"	"2012"	15	57826	Unreliable	Unreliable	0.00%
	"Blount County, AL"	"01009"	"2013"	"2013"	Suppressed	57872	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	"2014"	"2014"	Suppressed	57719	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	"2015"	"2015"	10	57673	Unreliable	Unreliable	0.00%
	"Blount County, AL"	"01009"	"2016"	"2016"	11	57704	Unreliable	Unreliable	0.00%
	"Bullock County, AL"	"01011"	"2009"	"2009"	Suppressed	10987	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2010"	"2010"	Suppressed	10914	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2011"	"2011"	Suppressed	10542	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2012"	"2012"	Suppressed	10474	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2013"	"2013"	Suppressed	10639	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2014"	"2014"	Suppressed	10764	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2015"	"2015"	Suppressed	10696	Suppressed	Suppressed	Suppressed
	"Bullock County, AL"	"01011"	"2016"	"2016"	Suppressed	10362	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2009"	"2009"	Suppressed	20867	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2010"	"2010"	Suppressed	20947	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2011"	"2011"	Suppressed	20650	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2012"	"2012"	Suppressed	20307	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2013"	"2013"	Suppressed	20265	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2014"	"2014"	Suppressed	20296	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	"2015"	"2015"	Suppressed	20154	Suppressed	Suppressed	Suppressed
