"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2009"	"2009"	Suppressed	47793	Suppressed
	"Autauga County, AL"	"01001"	"2010"	"2010"	12	48025	Unreliable
	"Autauga County, AL"	"01001"	"2011"	"2011"	15	48494	Unreliable
	"Autauga County, AL"	"01001"	"2012"	"2012"	Suppressed	48270	Suppressed
	"Autauga County, AL"	"01001"	"2013"	"2013"	20	47780	41.86
	"Autauga County, AL"	"01001"	"2014"	"2014"	22	47734	46.09
	"Autauga County, AL"	"01001"	"2015"	"2015"	21	47426	44.28
	"Autauga County, AL"	"01001"	"2016"	"2016"	16	47254	Unreliable
	"Baldwin County, AL"	"01003"	"2009"	"2009"	42	149633	28.07
	"Baldwin County, AL"	"01003"	"2010"	"2010"	45	151697	29.66
	"Baldwin County, AL"	"01003"	"2011"	"2011"	54	154840	34.87
	"Baldwin County, AL"	"01003"	"2012"	"2012"	48	156963	30.58
	"Baldwin County, AL"	"01003"	"2013"	"2013"	63	160079	39.36
	"Baldwin County, AL"	"01003"	"2014"	"2014"	68	162726	41.79
	"Baldwin County, AL"	"01003"	"2015"	"2015"	74	164647	44.94
	"Baldwin County, AL"	"01003"	"2016"	"2016"	70	167459	41.80
	"Barbour County, AL"	"01005"	"2009"	"2009"	10	23787	Unreliable
	"Barbour County, AL"	"01005"	"2010"	"2010"	Suppressed	23548	Suppressed
	"Barbour County, AL"	"01005"	"2011"	"2011"	Suppressed	23153	Suppressed
	"Barbour County, AL"	"01005"	"2012"	"2012"	Suppressed	23058	Suppressed
	"Barbour County, AL"	"01005"	"2013"	"2013"	Suppressed	22782	Suppressed
	"Barbour County, AL"	"01005"	"2014"	"2014"	Suppressed	22454	Suppressed
	"Barbour County, AL"	"01005"	"2015"	"2015"	Suppressed	21943	Suppressed
	"Barbour County, AL"	"01005"	"2016"	"2016"	Suppressed	21287	Suppressed
	"Bibb County, AL"	"01007"	"2009"	"2009"	16	20059	Unreliable
	"Bibb County, AL"	"01007"	"2010"	"2010"	14	20009	Unreliable
	"Bibb County, AL"	"01007"	"2011"	"2011"	Suppressed	19747	Suppressed
	"Bibb County, AL"	"01007"	"2012"	"2012"	Suppressed	19465	Suppressed
	"Bibb County, AL"	"01007"	"2013"	"2013"	Suppressed	19296	Suppressed
	"Bibb County, AL"	"01007"	"2014"	"2014"	Suppressed	19178	Suppressed
	"Bibb County, AL"	"01007"	"2015"	"2015"	11	19191	Unreliable
	"Bibb County, AL"	"01007"	"2016"	"2016"	Suppressed	19149	Suppressed
	"Blount County, AL"	"01009"	"2009"	"2009"	15	49033	Unreliable
	"Blount County, AL"	"01009"	"2010"	"2010"	12	48883	Unreliable
	"Blount County, AL"	"01009"	"2011"	"2011"	18	49006	Unreliable
	"Blount County, AL"	"01009"	"2012"	"2012"	16	48610	Unreliable
	"Blount County, AL"	"01009"	"2013"	"2013"	16	48376	Unreliable
	"Blount County, AL"	"01009"	"2014"	"2014"	24	47906	50.10
	"Blount County, AL"	"01009"	"2015"	"2015"	14	47563	Unreliable
	"Blount County, AL"	"01009"	"2016"	"2016"	15	47325	Unreliable
	"Bullock County, AL"	"01011"	"2009"	"2009"	Suppressed	9498	Suppressed
	"Bullock County, AL"	"01011"	"2010"	"2010"	Suppressed	9445	Suppressed
	"Bullock County, AL"	"01011"	"2011"	"2011"	Suppressed	9107	Suppressed
	"Bullock County, AL"	"01011"	"2012"	"2012"	Suppressed	8941	Suppressed
	"Bullock County, AL"	"01011"	"2013"	"2013"	Suppressed	9084	Suppressed
	"Bullock County, AL"	"01011"	"2014"	"2014"	Suppressed	9164	Suppressed
	"Bullock County, AL"	"01011"	"2015"	"2015"	Suppressed	9061	Suppressed
	"Bullock County, AL"	"01011"	"2016"	"2016"	Suppressed	8678	Suppressed
	"Butler County, AL"	"01013"	"2009"	"2009"	Suppressed	17410	Suppressed
	"Butler County, AL"	"01013"	"2010"	"2010"	Suppressed	17458	Suppressed
	"Butler County, AL"	"01013"	"2011"	"2011"	Suppressed	17128	Suppressed
	"Butler County, AL"	"01013"	"2012"	"2012"	Suppressed	16765	Suppressed
	"Butler County, AL"	"01013"	"2013"	"2013"	Suppressed	16668	Suppressed
	"Butler County, AL"	"01013"	"2014"	"2014"	12	16652	Unreliable
	"Butler County, AL"	"01013"	"2015"	"2015"	Suppressed	16450	Suppressed
	"Butler County, AL"	"01013"	"2016"	"2016"	Suppressed	16194	Suppressed
	"Calhoun County, AL"	"01015"	"2009"	"2009"	76	101561	74.83
	"Calhoun County, AL"	"01015"	"2010"	"2010"	65	101582	63.99
	"Calhoun County, AL"	"01015"	"2011"	"2011"	65	100649	64.58
	"Calhoun County, AL"	"01015"	"2012"	"2012"	52	99514	52.25
	"Calhoun County, AL"	"01015"	"2013"	"2013"	65	98587	65.93
	"Calhoun County, AL"	"01015"	"2014"	"2014"	66	97417	67.75
	"Calhoun County, AL"	"01015"	"2015"	"2015"	55	96720	56.87
	"Calhoun County, AL"	"01015"	"2016"	"2016"	61	95264	64.03
	"Chambers County, AL"	"01017"	"2009"	"2009"	17	28693	Unreliable
	"Chambers County, AL"	"01017"	"2010"	"2010"	11	28509	Unreliable
	"Chambers County, AL"	"01017"	"2011"	"2011"	11	28180	Unreliable
	"Chambers County, AL"	"01017"	"2012"	"2012"	13	28077	Unreliable
