"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2009"	"2009"	Suppressed	47793	Suppressed
	"Autauga County, AL"	"01001"	"2010"	"2010"	Suppressed	48025	Suppressed
	"Autauga County, AL"	"01001"	"2011"	"2011"	Suppressed	48494	Suppressed
	"Autauga County, AL"	"01001"	"2012"	"2012"	Suppressed	48270	Suppressed
	"Autauga County, AL"	"01001"	"2013"	"2013"	Suppressed	47780	Suppressed
	"Autauga County, AL"	"01001"	"2014"	"2014"	Suppressed	47734	Suppressed
	"Autauga County, AL"	"01001"	"2015"	"2015"	Suppressed	47426	Suppressed
	"Autauga County, AL"	"01001"	"2016"	"2016"	Suppressed	47254	Suppressed
	"Baldwin County, AL"	"01003"	"2009"	"2009"	20	149633	13.37
	"Baldwin County, AL"	"01003"	"2010"	"2010"	15	151697	Unreliable
	"Baldwin County, AL"	"01003"	"2011"	"2011"	12	154840	Unreliable
	"Baldwin County, AL"	"01003"	"2012"	"2012"	13	156963	Unreliable
	"Baldwin County, AL"	"01003"	"2013"	"2013"	15	160079	Unreliable
	"Baldwin County, AL"	"01003"	"2014"	"2014"	19	162726	Unreliable
	"Baldwin County, AL"	"01003"	"2015"	"2015"	12	164647	Unreliable
	"Baldwin County, AL"	"01003"	"2016"	"2016"	10	167459	Unreliable
	"Barbour County, AL"	"01005"	"2009"	"2009"	Suppressed	23787	Suppressed
	"Barbour County, AL"	"01005"	"2010"	"2010"	Suppressed	23548	Suppressed
	"Barbour County, AL"	"01005"	"2011"	"2011"	Suppressed	23153	Suppressed
	"Barbour County, AL"	"01005"	"2012"	"2012"	Suppressed	23058	Suppressed
	"Barbour County, AL"	"01005"	"2013"	"2013"	Suppressed	22782	Suppressed
	"Barbour County, AL"	"01005"	"2014"	"2014"	Suppressed	22454	Suppressed
	"Barbour County, AL"	"01005"	"2015"	"2015"	Suppressed	21943	Suppressed
	"Barbour County, AL"	"01005"	"2016"	"2016"	Suppressed	21287	Suppressed
	"Bibb County, AL"	"01007"	"2009"	"2009"	Suppressed	20059	Suppressed
	"Bibb County, AL"	"01007"	"2010"	"2010"	Suppressed	20009	Suppressed
	"Bibb County, AL"	"01007"	"2011"	"2011"	Suppressed	19747	Suppressed
	"Bibb County, AL"	"01007"	"2012"	"2012"	Suppressed	19465	Suppressed
	"Bibb County, AL"	"01007"	"2013"	"2013"	Suppressed	19296	Suppressed
	"Bibb County, AL"	"01007"	"2014"	"2014"	Suppressed	19178	Suppressed
	"Bibb County, AL"	"01007"	"2015"	"2015"	Suppressed	19191	Suppressed
	"Bibb County, AL"	"01007"	"2016"	"2016"	Suppressed	19149	Suppressed
	"Blount County, AL"	"01009"	"2009"	"2009"	Suppressed	49033	Suppressed
	"Blount County, AL"	"01009"	"2010"	"2010"	Suppressed	48883	Suppressed
	"Blount County, AL"	"01009"	"2011"	"2011"	Suppressed	49006	Suppressed
	"Blount County, AL"	"01009"	"2012"	"2012"	Suppressed	48610	Suppressed
	"Blount County, AL"	"01009"	"2013"	"2013"	Suppressed	48376	Suppressed
	"Blount County, AL"	"01009"	"2014"	"2014"	Suppressed	47906	Suppressed
	"Blount County, AL"	"01009"	"2015"	"2015"	Suppressed	47563	Suppressed
	"Blount County, AL"	"01009"	"2016"	"2016"	10	47325	Unreliable
	"Bullock County, AL"	"01011"	"2009"	"2009"	Suppressed	9498	Suppressed
	"Bullock County, AL"	"01011"	"2010"	"2010"	Suppressed	9445	Suppressed
	"Bullock County, AL"	"01011"	"2011"	"2011"	Suppressed	9107	Suppressed
	"Bullock County, AL"	"01011"	"2012"	"2012"	Suppressed	8941	Suppressed
	"Bullock County, AL"	"01011"	"2013"	"2013"	Suppressed	9084	Suppressed
	"Bullock County, AL"	"01011"	"2014"	"2014"	Suppressed	9164	Suppressed
	"Bullock County, AL"	"01011"	"2015"	"2015"	Suppressed	9061	Suppressed
	"Bullock County, AL"	"01011"	"2016"	"2016"	Suppressed	8678	Suppressed
	"Butler County, AL"	"01013"	"2009"	"2009"	Suppressed	17410	Suppressed
	"Butler County, AL"	"01013"	"2010"	"2010"	Suppressed	17458	Suppressed
