"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	44806	4430141	1011.39	1009.25	0.10%
	"Alabama"	"01"	"2000"	"2000"	45062	4447100	1013.29	1004.76	0.10%
	"Alabama"	"01"	"2001"	"2001"	45316	4467634	1014.32	1002.07	0.10%
	"Alabama"	"01"	"2002"	"2002"	46069	4480089	1028.31	1013.36	0.10%
	"Alabama"	"01"	"2003"	"2003"	46716	4503491	1037.33	1020.22	0.10%
	"Alabama"	"01"	"2004"	"2004"	46121	4530729	1017.96	998.32	0.10%
	"Alabama"	"01"	"2005"	"2005"	47090	4569805	1030.46	1001.32	0.10%
	"Alabama"	"01"	"2006"	"2006"	46977	4628981	1014.85	979.49	0.10%
	"Alabama"	"01"	"2007"	"2007"	46696	4672840	999.31	957.21	0.10%
	"Alabama"	"01"	"2008"	"2008"	47707	4718206	1011.13	959.72	0.11%
	"Alabama"	"01"	"2009"	"2009"	47470	4757938	997.70	940.24	0.11%
	"Alabama"	"01"	"2010"	"2010"	48038	4779736	1005.03	939.71	0.11%
	"Alabama"	"01"	"2011"	"2011"	48681	4802740	1013.61	933.65	0.11%
	"Alabama"	"01"	"2012"	"2012"	49301	4822023	1022.41	926.72	0.11%
	"Alabama"	"01"	"2013"	"2013"	50189	4833722	1038.31	925.22	0.11%
	"Alabama"	"01"	"2014"	"2014"	50215	4849377	1035.49	909.10	0.11%
	"Alabama"	"01"	"2015"	"2015"	51909	4858979	1068.31	924.50	0.12%
	"Alabama"	"01"	"2016"	"2016"	52466	4863300	1078.81	920.38	0.12%
"Total"	"Alabama"	"01"			860829	84016831	1024.59	961.57	1.92%
	"Alaska"	"02"	"1999"	"1999"	2708	624779	433.43	838.87	0.01%
	"Alaska"	"02"	"2000"	"2000"	2914	626932	464.80	869.13	0.01%
	"Alaska"	"02"	"2001"	"2001"	2974	633714	469.30	831.33	0.01%
	"Alaska"	"02"	"2002"	"2002"	3030	642337	471.72	802.42	0.01%
	"Alaska"	"02"	"2003"	"2003"	3180	648414	490.43	843.49	0.01%
	"Alaska"	"02"	"2004"	"2004"	3051	659286	462.77	756.70	0.01%
	"Alaska"	"02"	"2005"	"2005"	3168	666946	475.00	762.35	0.01%
	"Alaska"	"02"	"2006"	"2006"	3354	675302	496.67	787.58	0.01%
	"Alaska"	"02"	"2007"	"2007"	3463	680300	509.04	780.63	0.01%
	"Alaska"	"02"	"2008"	"2008"	3494	687455	508.25	761.26	0.01%
	"Alaska"	"02"	"2009"	"2009"	3618	698895	517.67	763.77	0.01%
	"Alaska"	"02"	"2010"	"2010"	3728	710231	524.90	771.51	0.01%
	"Alaska"	"02"	"2011"	"2011"	3849	722718	532.57	747.77	0.01%
	"Alaska"	"02"	"2012"	"2012"	3912	731449	534.83	731.38	0.01%
	"Alaska"	"02"	"2013"	"2013"	3997	735132	543.71	724.44	0.01%
	"Alaska"	"02"	"2014"	"2014"	4128	736732	560.31	736.79	0.01%
	"Alaska"	"02"	"2015"	"2015"	4316	738432	584.48	747.40	0.01%
	"Alaska"	"02"	"2016"	"2016"	4494	741894	605.75	745.60	0.01%
"Total"	"Alaska"	"02"			63378	12360948	512.73	769.21	0.14%
	"Arizona"	"04"	"1999"	"1999"	40050	5023823	797.20	818.45	0.09%
	"Arizona"	"04"	"2000"	"2000"	40500	5130632	789.38	810.40	0.09%
	"Arizona"	"04"	"2001"	"2001"	41058	5273477	778.58	795.87	0.09%
	"Arizona"	"04"	"2002"	"2002"	42816	5396255	793.44	811.16	0.10%
	"Arizona"	"04"	"2003"	"2003"	43392	5510364	787.46	798.44	0.10%
	"Arizona"	"04"	"2004"	"2004"	43198	5652404	764.24	771.10	0.10%
	"Arizona"	"04"	"2005"	"2005"	45827	5839077	784.83	786.73	0.10%
	"Arizona"	"04"	"2006"	"2006"	46365	6029141	769.02	767.14	0.10%
	"Arizona"	"04"	"2007"	"2007"	45554	6167681	738.59	731.04	0.10%
	"Arizona"	"04"	"2008"	"2008"	45823	6280362	729.62	714.46	0.10%
	"Arizona"	"04"	"2009"	"2009"	45816	6343154	722.29	693.82	0.10%
	"Arizona"	"04"	"2010"	"2010"	46762	6392017	731.57	693.09	0.10%
	"Arizona"	"04"	"2011"	"2011"	48381	6482505	746.33	688.95	0.11%
	"Arizona"	"04"	"2012"	"2012"	49549	6553255	756.10	682.89	0.11%
	"Arizona"	"04"	"2013"	"2013"	50534	6626624	762.59	674.18	0.11%
	"Arizona"	"04"	"2014"	"2014"	51538	6731484	765.63	661.73	0.11%
	"Arizona"	"04"	"2015"	"2015"	54299	6828065	795.23	671.81	0.12%
	"Arizona"	"04"	"2016"	"2016"	56645	6931071	817.26	675.77	0.13%
"Total"	"Arizona"	"04"			838107	109191391	767.56	727.34	1.87%
	"Arkansas"	"05"	"1999"	"1999"	27925	2651860	1053.03	975.32	0.06%
	"Arkansas"	"05"	"2000"	"2000"	28217	2673400	1055.47	977.15	0.06%
	"Arkansas"	"05"	"2001"	"2001"	27759	2691571	1031.33	955.38	0.06%
	"Arkansas"	"05"	"2002"	"2002"	28513	2705927	1053.72	975.21	0.06%
	"Arkansas"	"05"	"2003"	"2003"	27918	2724816	1024.58	948.17	0.06%
	"Arkansas"	"05"	"2004"	"2004"	27528	2749686	1001.13	927.40	0.06%
	"Arkansas"	"05"	"2005"	"2005"	28055	2781097	1008.77	931.51	0.06%
	"Arkansas"	"05"	"2006"	"2006"	27901	2821761	988.78	909.46	0.06%
	"Arkansas"	"05"	"2007"	"2007"	28191	2848650	989.63	906.23	0.06%
	"Arkansas"	"05"	"2008"	"2008"	29322	2874554	1020.05	927.32	0.07%
	"Arkansas"	"05"	"2009"	"2009"	28673	2896843	989.80	896.40	0.06%
	"Arkansas"	"05"	"2010"	"2010"	28916	2915918	991.66	892.71	0.06%
	"Arkansas"	"05"	"2011"	"2011"	29653	2937979	1009.30	895.27	0.07%
	"Arkansas"	"05"	"2012"	"2012"	30117	2949131	1021.22	897.52	0.07%
	"Arkansas"	"05"	"2013"	"2013"	30437	2959373	1028.49	893.82	0.07%
	"Arkansas"	"05"	"2014"	"2014"	30467	2966369	1027.08	883.66	0.07%
	"Arkansas"	"05"	"2015"	"2015"	31617	2978204	1061.61	901.76	0.07%
	"Arkansas"	"05"	"2016"	"2016"	31756	2988248	1062.70	893.25	0.07%
"Total"	"Arkansas"	"05"			522965	51115387	1023.11	919.82	1.16%
	"California"	"06"	"1999"	"1999"	229380	33499204	684.73	802.30	0.51%
	"California"	"06"	"2000"	"2000"	229551	33871648	677.71	787.94	0.51%
	"California"	"06"	"2001"	"2001"	234044	34479458	678.79	783.18	0.52%
	"California"	"06"	"2002"	"2002"	234565	34871843	672.65	769.96	0.52%
	"California"	"06"	"2003"	"2003"	239371	35253159	679.01	768.38	0.53%
	"California"	"06"	"2004"	"2004"	232525	35574576	653.63	734.33	0.52%
	"California"	"06"	"2005"	"2005"	237037	35827943	661.60	730.75	0.53%
	"California"	"06"	"2006"	"2006"	237126	36021202	658.30	718.22	0.53%
	"California"	"06"	"2007"	"2007"	233720	36250311	644.74	691.66	0.52%
	"California"	"06"	"2008"	"2008"	234766	36604337	641.36	677.92	0.52%
	"California"	"06"	"2009"	"2009"	232736	36961229	629.68	655.47	0.52%
	"California"	"06"	"2010"	"2010"	234012	37253956	628.15	646.68	0.52%
	"California"	"06"	"2011"	"2011"	239942	37691912	636.59	641.32	0.53%
	"California"	"06"	"2012"	"2012"	242554	38041430	637.60	630.36	0.54%
	"California"	"06"	"2013"	"2013"	248359	38332521	647.91	630.14	0.55%
	"California"	"06"	"2014"	"2014"	245929	38802500	633.80	605.66	0.55%
	"California"	"06"	"2015"	"2015"	259206	39144818	662.17	621.61	0.58%
	"California"	"06"	"2016"	"2016"	262240	39250017	668.13	616.94	0.58%
"Total"	"California"	"06"			4307063	657732064	654.84	688.26	9.59%
	"Colorado"	"08"	"1999"	"1999"	27114	4226018	641.60	801.78	0.06%
	"Colorado"	"08"	"2000"	"2000"	27288	4301261	634.42	792.08	0.06%
	"Colorado"	"08"	"2001"	"2001"	28294	4425687	639.31	796.15	0.06%
	"Colorado"	"08"	"2002"	"2002"	29210	4490406	650.50	804.35	0.07%
	"Colorado"	"08"	"2003"	"2003"	29506	4528732	651.53	791.95	0.07%
	"Colorado"	"08"	"2004"	"2004"	28309	4575013	618.77	738.52	0.06%
	"Colorado"	"08"	"2005"	"2005"	29627	4631888	639.63	752.08	0.07%
	"Colorado"	"08"	"2006"	"2006"	29521	4720423	625.39	720.90	0.07%
	"Colorado"	"08"	"2007"	"2007"	29993	4803868	624.35	708.00	0.07%
	"Colorado"	"08"	"2008"	"2008"	31274	4889730	639.59	715.81	0.07%
	"Colorado"	"08"	"2009"	"2009"	31173	4972195	626.95	689.72	0.07%
	"Colorado"	"08"	"2010"	"2010"	31465	5029196	625.65	682.71	0.07%
	"Colorado"	"08"	"2011"	"2011"	32563	5116796	636.39	677.78	0.07%
	"Colorado"	"08"	"2012"	"2012"	33133	5187582	638.70	665.55	0.07%
	"Colorado"	"08"	"2013"	"2013"	33712	5268367	639.89	655.37	0.08%
	"Colorado"	"08"	"2014"	"2014"	35237	5355866	657.91	664.37	0.08%
