"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	106	4430141	2.39	2.34	0.07%
	"Alabama"	"01"	"2000"	"2000"	120	4447100	2.70	2.65	0.08%
	"Alabama"	"01"	"2001"	"2001"	120	4467634	2.69	2.59	0.08%
	"Alabama"	"01"	"2002"	"2002"	127	4480089	2.83	2.75	0.08%
	"Alabama"	"01"	"2003"	"2003"	124	4503491	2.75	2.63	0.08%
	"Alabama"	"01"	"2004"	"2004"	106	4530729	2.34	2.21	0.07%
	"Alabama"	"01"	"2005"	"2005"	170	4569805	3.72	3.49	0.11%
	"Alabama"	"01"	"2006"	"2006"	146	4628981	3.15	2.96	0.10%
	"Alabama"	"01"	"2007"	"2007"	153	4672840	3.27	2.98	0.10%
	"Alabama"	"01"	"2008"	"2008"	139	4718206	2.95	2.76	0.09%
	"Alabama"	"01"	"2009"	"2009"	172	4757938	3.62	3.30	0.11%
	"Alabama"	"01"	"2010"	"2010"	143	4779736	2.99	2.67	0.09%
	"Alabama"	"01"	"2011"	"2011"	144	4802740	3.00	2.73	0.09%
	"Alabama"	"01"	"2012"	"2012"	159	4822023	3.30	2.98	0.10%
	"Alabama"	"01"	"2013"	"2013"	149	4833722	3.08	2.70	0.10%
	"Alabama"	"01"	"2014"	"2014"	148	4849377	3.05	2.61	0.10%
	"Alabama"	"01"	"2015"	"2015"	143	4858979	2.94	2.53	0.09%
	"Alabama"	"01"	"2016"	"2016"	137	4863300	2.82	2.37	0.09%
	"Alaska"	"02"	"1999"	"1999"	Suppressed	624779	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"2000"	"2000"	Suppressed	626932	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"2001"	"2001"	Suppressed	633714	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	12	642337	Unreliable	Unreliable	0.01%
	"Alaska"	"02"	"2003"	"2003"	Suppressed	648414	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	10	659286	Unreliable	Unreliable	0.01%
	"Alaska"	"02"	"2005"	"2005"	12	666946	Unreliable	Unreliable	0.01%
	"Alaska"	"02"	"2006"	"2006"	11	675302	Unreliable	Unreliable	0.01%
	"Alaska"	"02"	"2007"	"2007"	11	680300	Unreliable	Unreliable	0.01%
	"Alaska"	"02"	"2008"	"2008"	11	687455	Unreliable	Unreliable	0.01%
	"Alaska"	"02"	"2009"	"2009"	14	698895	Unreliable	Unreliable	0.01%
	"Alaska"	"02"	"2010"	"2010"	16	710231	Unreliable	Unreliable	0.01%
	"Alaska"	"02"	"2011"	"2011"	Suppressed	722718	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"2012"	"2012"	12	731449	Unreliable	Unreliable	0.01%
	"Alaska"	"02"	"2013"	"2013"	11	735132	Unreliable	Unreliable	0.01%
	"Alaska"	"02"	"2014"	"2014"	21	736732	2.85	4.00	0.01%
	"Alaska"	"02"	"2015"	"2015"	17	738432	Unreliable	Unreliable	0.01%
	"Alaska"	"02"	"2016"	"2016"	11	741894	Unreliable	Unreliable	0.01%
	"Arizona"	"04"	"1999"	"1999"	151	5023823	3.01	3.06	0.10%
	"Arizona"	"04"	"2000"	"2000"	141	5130632	2.75	2.79	0.09%
	"Arizona"	"04"	"2001"	"2001"	128	5273477	2.43	2.44	0.08%
	"Arizona"	"04"	"2002"	"2002"	164	5396255	3.04	3.05	0.11%
	"Arizona"	"04"	"2003"	"2003"	157	5510364	2.85	2.82	0.10%
	"Arizona"	"04"	"2004"	"2004"	156	5652404	2.76	2.73	0.10%
	"Arizona"	"04"	"2005"	"2005"	172	5839077	2.95	2.88	0.11%
	"Arizona"	"04"	"2006"	"2006"	180	6029141	2.99	2.93	0.12%
	"Arizona"	"04"	"2007"	"2007"	192	6167681	3.11	2.98	0.13%
	"Arizona"	"04"	"2008"	"2008"	167	6280362	2.66	2.55	0.11%
	"Arizona"	"04"	"2009"	"2009"	227	6343154	3.58	3.46	0.15%
	"Arizona"	"04"	"2010"	"2010"	198	6392017	3.10	2.90	0.13%
	"Arizona"	"04"	"2011"	"2011"	200	6482505	3.09	2.79	0.13%
	"Arizona"	"04"	"2012"	"2012"	221	6553255	3.37	3.06	0.15%
	"Arizona"	"04"	"2013"	"2013"	227	6626624	3.43	2.96	0.15%
	"Arizona"	"04"	"2014"	"2014"	236	6731484	3.51	2.99	0.16%
	"Arizona"	"04"	"2015"	"2015"	208	6828065	3.05	2.58	0.14%
	"Arizona"	"04"	"2016"	"2016"	192	6931071	2.77	2.30	0.13%
	"Arkansas"	"05"	"1999"	"1999"	73	2651860	2.75	2.60	0.05%
	"Arkansas"	"05"	"2000"	"2000"	74	2673400	2.77	2.60	0.05%
	"Arkansas"	"05"	"2001"	"2001"	75	2691571	2.79	2.60	0.05%
	"Arkansas"	"05"	"2002"	"2002"	63	2705927	2.33	2.17	0.04%
	"Arkansas"	"05"	"2003"	"2003"	76	2724816	2.79	2.62	0.05%
	"Arkansas"	"05"	"2004"	"2004"	77	2749686	2.80	2.57	0.05%
	"Arkansas"	"05"	"2005"	"2005"	78	2781097	2.80	2.60	0.05%
	"Arkansas"	"05"	"2006"	"2006"	80	2821761	2.84	2.56	0.05%
	"Arkansas"	"05"	"2007"	"2007"	83	2848650	2.91	2.61	0.05%
	"Arkansas"	"05"	"2008"	"2008"	82	2874554	2.85	2.59	0.05%
	"Arkansas"	"05"	"2009"	"2009"	86	2896843	2.97	2.70	0.06%
	"Arkansas"	"05"	"2010"	"2010"	96	2915918	3.29	2.89	0.06%
	"Arkansas"	"05"	"2011"	"2011"	103	2937979	3.51	3.12	0.07%
	"Arkansas"	"05"	"2012"	"2012"	97	2949131	3.29	2.77	0.06%
	"Arkansas"	"05"	"2013"	"2013"	92	2959373	3.11	2.69	0.06%
	"Arkansas"	"05"	"2014"	"2014"	84	2966369	2.83	2.44	0.06%
	"Arkansas"	"05"	"2015"	"2015"	92	2978204	3.09	2.53	0.06%
	"Arkansas"	"05"	"2016"	"2016"	73	2988248	2.44	2.06	0.05%
	"California"	"06"	"1999"	"1999"	728	33499204	2.17	2.46	0.48%
	"California"	"06"	"2000"	"2000"	765	33871648	2.26	2.56	0.50%
	"California"	"06"	"2001"	"2001"	780	34479458	2.26	2.55	0.51%
	"California"	"06"	"2002"	"2002"	776	34871843	2.23	2.47	0.51%
	"California"	"06"	"2003"	"2003"	856	35253159	2.43	2.68	0.56%
	"California"	"06"	"2004"	"2004"	829	35574576	2.33	2.57	0.55%
	"California"	"06"	"2005"	"2005"	842	35827943	2.35	2.55	0.55%
	"California"	"06"	"2006"	"2006"	890	36021202	2.47	2.67	0.59%
	"California"	"06"	"2007"	"2007"	843	36250311	2.33	2.46	0.56%
	"California"	"06"	"2008"	"2008"	931	36604337	2.54	2.65	0.61%
	"California"	"06"	"2009"	"2009"	920	36961229	2.49	2.57	0.61%
	"California"	"06"	"2010"	"2010"	973	37253956	2.61	2.66	0.64%
	"California"	"06"	"2011"	"2011"	925	37691912	2.45	2.47	0.61%
	"California"	"06"	"2012"	"2012"	965	38041430	2.54	2.51	0.64%
	"California"	"06"	"2013"	"2013"	926	38332521	2.42	2.36	0.61%
	"California"	"06"	"2014"	"2014"	981	38802500	2.53	2.41	0.65%
	"California"	"06"	"2015"	"2015"	941	39144818	2.40	2.24	0.62%
	"California"	"06"	"2016"	"2016"	810	39250017	2.06	1.88	0.53%
	"Colorado"	"08"	"1999"	"1999"	93	4226018	2.20	2.61	0.06%
	"Colorado"	"08"	"2000"	"2000"	122	4301261	2.84	3.34	0.08%
	"Colorado"	"08"	"2001"	"2001"	119	4425687	2.69	3.09	0.08%
	"Colorado"	"08"	"2002"	"2002"	106	4490406	2.36	2.69	0.07%
	"Colorado"	"08"	"2003"	"2003"	105	4528732	2.32	2.65	0.07%
	"Colorado"	"08"	"2004"	"2004"	123	4575013	2.69	3.02	0.08%
	"Colorado"	"08"	"2005"	"2005"	121	4631888	2.61	2.88	0.08%
	"Colorado"	"08"	"2006"	"2006"	129	4720423	2.73	3.00	0.08%
	"Colorado"	"08"	"2007"	"2007"	160	4803868	3.33	3.52	0.11%
	"Colorado"	"08"	"2008"	"2008"	168	4889730	3.44	3.57	0.11%
	"Colorado"	"08"	"2009"	"2009"	172	4972195	3.46	3.60	0.11%
	"Colorado"	"08"	"2010"	"2010"	179	5029196	3.56	3.67	0.12%
	"Colorado"	"08"	"2011"	"2011"	154	5116796	3.01	3.03	0.10%
	"Colorado"	"08"	"2012"	"2012"	133	5187582	2.56	2.53	0.09%
	"Colorado"	"08"	"2013"	"2013"	169	5268367	3.21	3.16	0.11%
	"Colorado"	"08"	"2014"	"2014"	166	5355866	3.10	3.06	0.11%
	"Colorado"	"08"	"2015"	"2015"	175	5456574	3.21	3.08	0.12%
	"Colorado"	"08"	"2016"	"2016"	141	5540545	2.54	2.44	0.09%
	"Connecticut"	"09"	"1999"	"1999"	87	3386401	2.57	2.38	0.06%
	"Connecticut"	"09"	"2000"	"2000"	97	3405565	2.85	2.63	0.06%
	"Connecticut"	"09"	"2001"	"2001"	109	3432835	3.18	2.93	0.07%
	"Connecticut"	"09"	"2002"	"2002"	95	3458749	2.75	2.48	0.06%
	"Connecticut"	"09"	"2003"	"2003"	101	3484336	2.90	2.60	0.07%
	"Connecticut"	"09"	"2004"	"2004"	127	3496094	3.63	3.26	0.08%
	"Connecticut"	"09"	"2005"	"2005"	123	3506956	3.51	3.13	0.08%
	"Connecticut"	"09"	"2006"	"2006"	100	3517460	2.84	2.50	0.07%
	"Connecticut"	"09"	"2007"	"2007"	102	3527270	2.89	2.58	0.07%
	"Connecticut"	"09"	"2008"	"2008"	95	3545579	2.68	2.32	0.06%
	"Connecticut"	"09"	"2009"	"2009"	103	3561807	2.89	2.46	0.07%
	"Connecticut"	"09"	"2010"	"2010"	120	3574097	3.36	2.78	0.08%
	"Connecticut"	"09"	"2011"	"2011"	113	3580709	3.16	2.59	0.07%
	"Connecticut"	"09"	"2012"	"2012"	99	3590347	2.76	2.30	0.07%
	"Connecticut"	"09"	"2013"	"2013"	98	3596080	2.73	2.25	0.06%
	"Connecticut"	"09"	"2014"	"2014"	108	3596677	3.00	2.34	0.07%
	"Connecticut"	"09"	"2015"	"2015"	90	3590886	2.51	1.97	0.06%
	"Connecticut"	"09"	"2016"	"2016"	92	3576452	2.57	2.12	0.06%
	"Delaware"	"10"	"1999"	"1999"	25	774990	3.23	3.17	0.02%
	"Delaware"	"10"	"2000"	"2000"	21	783600	2.68	2.65	0.01%
	"Delaware"	"10"	"2001"	"2001"	32	795699	4.02	3.90	0.02%
	"Delaware"	"10"	"2002"	"2002"	24	806169	2.98	2.90	0.02%
	"Delaware"	"10"	"2003"	"2003"	27	818003	3.30	3.17	0.02%
	"Delaware"	"10"	"2004"	"2004"	26	830803	3.13	2.86	0.02%
	"Delaware"	"10"	"2005"	"2005"	32	845150	3.79	3.45	0.02%
	"Delaware"	"10"	"2006"	"2006"	22	859268	2.56	2.33	0.01%
	"Delaware"	"10"	"2007"	"2007"	34	871749	3.90	3.57	0.02%
	"Delaware"	"10"	"2008"	"2008"	23	883874	2.60	2.29	0.02%
	"Delaware"	"10"	"2009"	"2009"	28	891730	3.14	2.76	0.02%
	"Delaware"	"10"	"2010"	"2010"	28	897934	3.12	2.84	0.02%
	"Delaware"	"10"	"2011"	"2011"	35	907135	3.86	3.25	0.02%
	"Delaware"	"10"	"2012"	"2012"	32	917092	3.49	2.99	0.02%
	"Delaware"	"10"	"2013"	"2013"	29	925749	3.13	2.63	0.02%
	"Delaware"	"10"	"2014"	"2014"	30	935614	3.21	2.54	0.02%
	"Delaware"	"10"	"2015"	"2015"	37	945934	3.91	3.09	0.02%
	"Delaware"	"10"	"2016"	"2016"	36	952065	3.78	2.90	0.02%
