"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	1341	4430141	30.27	30.00	0.10%
	"Alabama"	"01"	"2000"	"2000"	1321	4447100	29.70	29.26	0.10%
	"Alabama"	"01"	"2001"	"2001"	1344	4467634	30.08	29.56	0.10%
	"Alabama"	"01"	"2002"	"2002"	1486	4480089	33.17	32.26	0.11%
	"Alabama"	"01"	"2003"	"2003"	1414	4503491	31.40	30.42	0.11%
	"Alabama"	"01"	"2004"	"2004"	1449	4530729	31.98	30.83	0.11%
	"Alabama"	"01"	"2005"	"2005"	1429	4569805	31.27	29.85	0.11%
	"Alabama"	"01"	"2006"	"2006"	1453	4628981	31.39	29.83	0.11%
	"Alabama"	"01"	"2007"	"2007"	1313	4672840	28.10	26.44	0.10%
	"Alabama"	"01"	"2008"	"2008"	1386	4718206	29.38	27.18	0.11%
	"Alabama"	"01"	"2009"	"2009"	1259	4757938	26.46	24.40	0.10%
	"Alabama"	"01"	"2010"	"2010"	1302	4779736	27.24	24.96	0.10%
	"Alabama"	"01"	"2011"	"2011"	1278	4802740	26.61	23.94	0.10%
	"Alabama"	"01"	"2012"	"2012"	1300	4822023	26.96	23.86	0.10%
	"Alabama"	"01"	"2013"	"2013"	1349	4833722	27.91	24.34	0.10%
	"Alabama"	"01"	"2014"	"2014"	1281	4849377	26.42	22.82	0.10%
	"Alabama"	"01"	"2015"	"2015"	1255	4858979	25.83	21.69	0.10%
	"Alabama"	"01"	"2016"	"2016"	1183	4863300	24.33	20.07	0.09%
"Total"	"Alabama"	"01"			24143	84016831	28.74	26.44	1.83%
	"Alaska"	"02"	"1999"	"1999"	67	624779	10.72	23.84	0.01%
	"Alaska"	"02"	"2000"	"2000"	87	626932	13.88	27.30	0.01%
	"Alaska"	"02"	"2001"	"2001"	80	633714	12.62	22.76	0.01%
	"Alaska"	"02"	"2002"	"2002"	86	642337	13.39	22.02	0.01%
	"Alaska"	"02"	"2003"	"2003"	102	648414	15.73	27.70	0.01%
	"Alaska"	"02"	"2004"	"2004"	93	659286	14.11	22.55	0.01%
	"Alaska"	"02"	"2005"	"2005"	93	666946	13.94	22.40	0.01%
	"Alaska"	"02"	"2006"	"2006"	109	675302	16.14	25.94	0.01%
	"Alaska"	"02"	"2007"	"2007"	105	680300	15.43	24.09	0.01%
	"Alaska"	"02"	"2008"	"2008"	93	687455	13.53	22.26	0.01%
	"Alaska"	"02"	"2009"	"2009"	84	698895	12.02	18.05	0.01%
	"Alaska"	"02"	"2010"	"2010"	86	710231	12.11	19.58	0.01%
	"Alaska"	"02"	"2011"	"2011"	107	722718	14.81	20.55	0.01%
	"Alaska"	"02"	"2012"	"2012"	107	731449	14.63	18.83	0.01%
	"Alaska"	"02"	"2013"	"2013"	112	735132	15.24	20.08	0.01%
	"Alaska"	"02"	"2014"	"2014"	113	736732	15.34	19.37	0.01%
	"Alaska"	"02"	"2015"	"2015"	142	738432	19.23	23.91	0.01%
	"Alaska"	"02"	"2016"	"2016"	124	741894	16.71	19.25	0.01%
"Total"	"Alaska"	"02"			1790	12360948	14.48	21.89	0.14%
	"Arizona"	"04"	"1999"	"1999"	1063	5023823	21.16	21.49	0.08%
	"Arizona"	"04"	"2000"	"2000"	1012	5130632	19.72	19.95	0.08%
	"Arizona"	"04"	"2001"	"2001"	1058	5273477	20.06	20.26	0.08%
	"Arizona"	"04"	"2002"	"2002"	1231	5396255	22.81	22.97	0.09%
	"Arizona"	"04"	"2003"	"2003"	1153	5510364	20.92	20.85	0.09%
	"Arizona"	"04"	"2004"	"2004"	1196	5652404	21.16	21.01	0.09%
	"Arizona"	"04"	"2005"	"2005"	1208	5839077	20.69	20.35	0.09%
	"Arizona"	"04"	"2006"	"2006"	1206	6029141	20.00	19.62	0.09%
	"Arizona"	"04"	"2007"	"2007"	1159	6167681	18.79	18.28	0.09%
	"Arizona"	"04"	"2008"	"2008"	1173	6280362	18.68	17.96	0.09%
	"Arizona"	"04"	"2009"	"2009"	1083	6343154	17.07	16.19	0.08%
	"Arizona"	"04"	"2010"	"2010"	1389	6392017	21.73	20.30	0.11%
	"Arizona"	"04"	"2011"	"2011"	1740	6482505	26.84	24.31	0.13%
	"Arizona"	"04"	"2012"	"2012"	1736	6553255	26.49	23.38	0.13%
	"Arizona"	"04"	"2013"	"2013"	1786	6626624	26.95	23.47	0.14%
	"Arizona"	"04"	"2014"	"2014"	1936	6731484	28.76	24.30	0.15%
	"Arizona"	"04"	"2015"	"2015"	2081	6828065	30.48	25.26	0.16%
	"Arizona"	"04"	"2016"	"2016"	2025	6931071	29.22	23.87	0.15%
"Total"	"Arizona"	"04"			25235	109191391	23.11	21.48	1.92%
	"Arkansas"	"05"	"1999"	"1999"	691	2651860	26.06	24.17	0.05%
	"Arkansas"	"05"	"2000"	"2000"	714	2673400	26.71	24.63	0.05%
	"Arkansas"	"05"	"2001"	"2001"	756	2691571	28.09	25.95	0.06%
	"Arkansas"	"05"	"2002"	"2002"	793	2705927	29.31	27.02	0.06%
	"Arkansas"	"05"	"2003"	"2003"	884	2724816	32.44	29.93	0.07%
	"Arkansas"	"05"	"2004"	"2004"	838	2749686	30.48	28.03	0.06%
	"Arkansas"	"05"	"2005"	"2005"	824	2781097	29.63	27.11	0.06%
	"Arkansas"	"05"	"2006"	"2006"	839	2821761	29.73	27.22	0.06%
	"Arkansas"	"05"	"2007"	"2007"	838	2848650	29.42	26.84	0.06%
	"Arkansas"	"05"	"2008"	"2008"	901	2874554	31.34	28.05	0.07%
	"Arkansas"	"05"	"2009"	"2009"	890	2896843	30.72	27.40	0.07%
	"Arkansas"	"05"	"2010"	"2010"	850	2915918	29.15	25.84	0.06%
	"Arkansas"	"05"	"2011"	"2011"	908	2937979	30.91	27.00	0.07%
	"Arkansas"	"05"	"2012"	"2012"	833	2949131	28.25	24.55	0.06%
	"Arkansas"	"05"	"2013"	"2013"	835	2959373	28.22	24.22	0.06%
	"Arkansas"	"05"	"2014"	"2014"	828	2966369	27.91	23.98	0.06%
	"Arkansas"	"05"	"2015"	"2015"	886	2978204	29.75	24.74	0.07%
	"Arkansas"	"05"	"2016"	"2016"	920	2988248	30.79	25.42	0.07%
"Total"	"Arkansas"	"05"			15028	51115387	29.40	26.20	1.14%
	"California"	"06"	"1999"	"1999"	6401	33499204	19.11	22.46	0.49%
	"California"	"06"	"2000"	"2000"	6190	33871648	18.27	21.32	0.47%
	"California"	"06"	"2001"	"2001"	6395	34479458	18.55	21.53	0.49%
	"California"	"06"	"2002"	"2002"	6807	34871843	19.52	22.46	0.52%
	"California"	"06"	"2003"	"2003"	7093	35253159	20.12	22.82	0.54%
	"California"	"06"	"2004"	"2004"	7117	35574576	20.01	22.55	0.54%
	"California"	"06"	"2005"	"2005"	7697	35827943	21.48	23.82	0.58%
	"California"	"06"	"2006"	"2006"	7376	36021202	20.48	22.52	0.56%
	"California"	"06"	"2007"	"2007"	7413	36250311	20.45	22.15	0.56%
	"California"	"06"	"2008"	"2008"	7375	36604337	20.15	21.47	0.56%
	"California"	"06"	"2009"	"2009"	6979	36961229	18.88	19.79	0.53%
	"California"	"06"	"2010"	"2010"	7061	37253956	18.95	19.73	0.54%
	"California"	"06"	"2011"	"2011"	7695	37691912	20.42	20.68	0.58%
	"California"	"06"	"2012"	"2012"	7895	38041430	20.75	20.72	0.60%
	"California"	"06"	"2013"	"2013"	8057	38332521	21.02	20.58	0.61%
	"California"	"06"	"2014"	"2014"	8249	38802500	21.26	20.35	0.63%
	"California"	"06"	"2015"	"2015"	8845	39144818	22.60	21.24	0.67%
	"California"	"06"	"2016"	"2016"	9124	39250017	23.25	21.35	0.69%
"Total"	"California"	"06"			133769	657732064	20.34	21.47	10.16%
	"Colorado"	"08"	"1999"	"1999"	639	4226018	15.12	19.18	0.05%
	"Colorado"	"08"	"2000"	"2000"	635	4301261	14.76	18.54	0.05%
	"Colorado"	"08"	"2001"	"2001"	667	4425687	15.07	18.83	0.05%
	"Colorado"	"08"	"2002"	"2002"	659	4490406	14.68	17.99	0.05%
	"Colorado"	"08"	"2003"	"2003"	708	4528732	15.63	19.07	0.05%
	"Colorado"	"08"	"2004"	"2004"	696	4575013	15.21	18.22	0.05%
	"Colorado"	"08"	"2005"	"2005"	753	4631888	16.26	19.28	0.06%
	"Colorado"	"08"	"2006"	"2006"	677	4720423	14.34	16.66	0.05%
	"Colorado"	"08"	"2007"	"2007"	710	4803868	14.78	16.78	0.05%
	"Colorado"	"08"	"2008"	"2008"	767	4889730	15.69	17.63	0.06%
	"Colorado"	"08"	"2009"	"2009"	779	4972195	15.67	17.20	0.06%
	"Colorado"	"08"	"2010"	"2010"	721	5029196	14.34	15.22	0.05%
	"Colorado"	"08"	"2011"	"2011"	790	5116796	15.44	16.41	0.06%
	"Colorado"	"08"	"2012"	"2012"	797	5187582	15.36	15.88	0.06%
	"Colorado"	"08"	"2013"	"2013"	788	5268367	14.96	14.98	0.06%
	"Colorado"	"08"	"2014"	"2014"	835	5355866	15.59	15.54	0.06%
	"Colorado"	"08"	"2015"	"2015"	887	5456574	16.26	15.88	0.07%
	"Colorado"	"08"	"2016"	"2016"	938	5540545	16.93	16.22	0.07%
"Total"	"Colorado"	"08"			13446	87520147	15.36	16.98	1.02%
	"Connecticut"	"09"	"1999"	"1999"	691	3386401	20.41	18.53	0.05%
	"Connecticut"	"09"	"2000"	"2000"	683	3405565	20.06	18.10	0.05%
	"Connecticut"	"09"	"2001"	"2001"	759	3432835	22.11	19.70	0.06%
	"Connecticut"	"09"	"2002"	"2002"	675	3458749	19.52	17.27	0.05%
	"Connecticut"	"09"	"2003"	"2003"	665	3484336	19.09	16.77	0.05%
	"Connecticut"	"09"	"2004"	"2004"	767	3496094	21.94	19.05	0.06%
	"Connecticut"	"09"	"2005"	"2005"	811	3506956	23.13	20.02	0.06%
	"Connecticut"	"09"	"2006"	"2006"	782	3517460	22.23	18.98	0.06%
	"Connecticut"	"09"	"2007"	"2007"	646	3527270	18.31	15.51	0.05%
	"Connecticut"	"09"	"2008"	"2008"	624	3545579	17.60	14.72	0.05%
	"Connecticut"	"09"	"2009"	"2009"	624	3561807	17.52	14.46	0.05%
	"Connecticut"	"09"	"2010"	"2010"	662	3574097	18.52	15.43	0.05%
	"Connecticut"	"09"	"2011"	"2011"	692	3580709	19.33	15.53	0.05%
	"Connecticut"	"09"	"2012"	"2012"	631	3590347	17.57	14.16	0.05%
	"Connecticut"	"09"	"2013"	"2013"	664	3596080	18.46	14.77	0.05%
	"Connecticut"	"09"	"2014"	"2014"	685	3596677	19.05	14.95	0.05%
	"Connecticut"	"09"	"2015"	"2015"	653	3590886	18.18	13.91	0.05%
	"Connecticut"	"09"	"2016"	"2016"	699	3576452	19.54	14.89	0.05%
"Total"	"Connecticut"	"09"			12413	63428300	19.57	16.39	0.94%
	"Delaware"	"10"	"1999"	"1999"	179	774990	23.10	23.53	0.01%
	"Delaware"	"10"	"2000"	"2000"	193	783600	24.63	24.59	0.01%
	"Delaware"	"10"	"2001"	"2001"	218	795699	27.40	27.45	0.02%
	"Delaware"	"10"	"2002"	"2002"	215	806169	26.67	26.12	0.02%
	"Delaware"	"10"	"2003"	"2003"	239	818003	29.22	28.35	0.02%
	"Delaware"	"10"	"2004"	"2004"	210	830803	25.28	24.50	0.02%
	"Delaware"	"10"	"2005"	"2005"	233	845150	27.57	26.45	0.02%
	"Delaware"	"10"	"2006"	"2006"	191	859268	22.23	20.56	0.01%
	"Delaware"	"10"	"2007"	"2007"	223	871749	25.58	23.59	0.02%
	"Delaware"	"10"	"2008"	"2008"	217	883874	24.55	22.50	0.02%
	"Delaware"	"10"	"2009"	"2009"	206	891730	23.10	20.81	0.02%
	"Delaware"	"10"	"2010"	"2010"	196	897934	21.83	19.17	0.01%
	"Delaware"	"10"	"2011"	"2011"	224	907135	24.69	21.47	0.02%
	"Delaware"	"10"	"2012"	"2012"	241	917092	26.28	22.33	0.02%
	"Delaware"	"10"	"2013"	"2013"	218	925749	23.55	19.38	0.02%
	"Delaware"	"10"	"2014"	"2014"	226	935614	24.16	19.80	0.02%
	"Delaware"	"10"	"2015"	"2015"	215	945934	22.73	18.11	0.02%
	"Delaware"	"10"	"2016"	"2016"	203	952065	21.32	17.03	0.02%
"Total"	"Delaware"	"10"			3847	15642558	24.59	22.09	0.29%
	"District of Columbia"	"11"	"1999"	"1999"	221	570213	38.76	39.57	0.02%
	"District of Columbia"	"11"	"2000"	"2000"	221	572059	38.63	39.33	0.02%
	"District of Columbia"	"11"	"2001"	"2001"	209	574504	36.38	37.38	0.02%
	"District of Columbia"	"11"	"2002"	"2002"	191	573158	33.32	34.14	0.01%
	"District of Columbia"	"11"	"2003"	"2003"	179	568502	31.49	32.36	0.01%
	"District of Columbia"	"11"	"2004"	"2004"	224	567754	39.45	40.23	0.02%
	"District of Columbia"	"11"	"2005"	"2005"	192	567136	33.85	34.44	0.01%
	"District of Columbia"	"11"	"2006"	"2006"	184	570681	32.24	33.00	0.01%
	"District of Columbia"	"11"	"2007"	"2007"	152	574404	26.46	26.58	0.01%
	"District of Columbia"	"11"	"2008"	"2008"	156	580236	26.89	27.50	0.01%
	"District of Columbia"	"11"	"2009"	"2009"	129	592228	21.78	22.45	0.01%
	"District of Columbia"	"11"	"2010"	"2010"	145	601723	24.10	24.86	0.01%
	"District of Columbia"	"11"	"2011"	"2011"	152	617996	24.60	25.99	0.01%
	"District of Columbia"	"11"	"2012"	"2012"	145	632323	22.93	24.14	0.01%
	"District of Columbia"	"11"	"2013"	"2013"	108	646449	16.71	17.93	0.01%
	"District of Columbia"	"11"	"2014"	"2014"	119	658893	18.06	18.81	0.01%
	"District of Columbia"	"11"	"2015"	"2015"	162	672228	24.10	25.73	0.01%
	"District of Columbia"	"11"	"2016"	"2016"	127	681170	18.64	19.81	0.01%
"Total"	"District of Columbia"	"11"			3016	10821657	27.87	28.92	0.23%
	"Florida"	"12"	"1999"	"1999"	4357	15759421	27.65	21.46	0.33%
	"Florida"	"12"	"2000"	"2000"	4449	15982378	27.84	21.59	0.34%
	"Florida"	"12"	"2001"	"2001"	4631	16356966	28.31	22.06	0.35%
	"Florida"	"12"	"2002"	"2002"	4583	16689370	27.46	21.49	0.35%
	"Florida"	"12"	"2003"	"2003"	4762	17004085	28.01	21.91	0.36%
	"Florida"	"12"	"2004"	"2004"	4809	17415318	27.61	21.58	0.37%
	"Florida"	"12"	"2005"	"2005"	5193	17842038	29.11	22.74	0.39%
	"Florida"	"12"	"2006"	"2006"	5172	18166990	28.47	22.29	0.39%
	"Florida"	"12"	"2007"	"2007"	5110	18367842	27.82	21.69	0.39%
	"Florida"	"12"	"2008"	"2008"	5161	18527305	27.86	21.40	0.39%
	"Florida"	"12"	"2009"	"2009"	4901	18652644	26.28	19.97	0.37%
	"Florida"	"12"	"2010"	"2010"	5024	18801310	26.72	20.10	0.38%
	"Florida"	"12"	"2011"	"2011"	5093	19057542	26.72	19.66	0.39%
