"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	13419	4430141	302.90	302.96	0.12%
	"Alabama"	"01"	"2000"	"2000"	13406	4447100	301.45	299.47	0.12%
	"Alabama"	"01"	"2001"	"2001"	13207	4467634	295.62	292.72	0.11%
	"Alabama"	"01"	"2002"	"2002"	13197	4480089	294.57	291.29	0.11%
	"Alabama"	"01"	"2003"	"2003"	13150	4503491	292.00	288.54	0.11%
	"Alabama"	"01"	"2004"	"2004"	12774	4530729	281.94	278.07	0.11%
	"Alabama"	"01"	"2005"	"2005"	12869	4569805	281.61	274.46	0.11%
	"Alabama"	"01"	"2006"	"2006"	12583	4628981	271.83	262.99	0.11%
	"Alabama"	"01"	"2007"	"2007"	11926	4672840	255.22	244.95	0.10%
	"Alabama"	"01"	"2008"	"2008"	12074	4718206	255.90	243.30	0.10%
	"Alabama"	"01"	"2009"	"2009"	12021	4757938	252.65	237.96	0.10%
	"Alabama"	"01"	"2010"	"2010"	12083	4779736	252.80	235.99	0.10%
	"Alabama"	"01"	"2011"	"2011"	11942	4802740	248.65	228.68	0.10%
	"Alabama"	"01"	"2012"	"2012"	12036	4822023	249.60	225.10	0.10%
	"Alabama"	"01"	"2013"	"2013"	12472	4833722	258.02	228.36	0.11%
	"Alabama"	"01"	"2014"	"2014"	12461	4849377	256.96	224.05	0.11%
	"Alabama"	"01"	"2015"	"2015"	12981	4858979	267.15	229.74	0.11%
	"Alabama"	"01"	"2016"	"2016"	12832	4863300	263.85	222.48	0.11%
"Total"	"Alabama"	"01"			227433	84016831	270.70	253.82	1.96%
	"Alaska"	"02"	"1999"	"1999"	563	624779	90.11	198.02	0.00%
	"Alaska"	"02"	"2000"	"2000"	607	626932	96.82	211.74	0.01%
	"Alaska"	"02"	"2001"	"2001"	603	633714	95.15	189.10	0.01%
	"Alaska"	"02"	"2002"	"2002"	567	642337	88.27	169.31	0.00%
	"Alaska"	"02"	"2003"	"2003"	626	648414	96.54	185.52	0.01%
	"Alaska"	"02"	"2004"	"2004"	589	659286	89.34	160.11	0.01%
	"Alaska"	"02"	"2005"	"2005"	627	666946	94.01	166.10	0.01%
	"Alaska"	"02"	"2006"	"2006"	645	675302	95.51	170.63	0.01%
	"Alaska"	"02"	"2007"	"2007"	613	680300	90.11	154.17	0.01%
	"Alaska"	"02"	"2008"	"2008"	634	687455	92.22	150.13	0.01%
	"Alaska"	"02"	"2009"	"2009"	714	698895	102.16	158.90	0.01%
	"Alaska"	"02"	"2010"	"2010"	707	710231	99.55	151.45	0.01%
	"Alaska"	"02"	"2011"	"2011"	739	722718	102.25	149.59	0.01%
	"Alaska"	"02"	"2012"	"2012"	708	731449	96.79	136.51	0.01%
	"Alaska"	"02"	"2013"	"2013"	706	735132	96.04	134.96	0.01%
	"Alaska"	"02"	"2014"	"2014"	782	736732	106.14	146.63	0.01%
	"Alaska"	"02"	"2015"	"2015"	846	738432	114.57	154.11	0.01%
	"Alaska"	"02"	"2016"	"2016"	831	741894	112.01	141.04	0.01%
"Total"	"Alaska"	"02"			12107	12360948	97.95	158.24	0.10%
	"Arizona"	"04"	"1999"	"1999"	10800	5023823	214.98	223.10	0.09%
	"Arizona"	"04"	"2000"	"2000"	10584	5130632	206.29	213.99	0.09%
	"Arizona"	"04"	"2001"	"2001"	10588	5273477	200.78	207.29	0.09%
	"Arizona"	"04"	"2002"	"2002"	10852	5396255	201.10	207.88	0.09%
