"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	7528	4430141	169.93	169.45	0.10%
	"Alabama"	"01"	"2000"	"2000"	7482	4447100	168.24	166.70	0.10%
	"Alabama"	"01"	"2001"	"2001"	7079	4467634	158.45	156.44	0.09%
	"Alabama"	"01"	"2002"	"2002"	6899	4480089	153.99	151.56	0.09%
	"Alabama"	"01"	"2003"	"2003"	6588	4503491	146.29	143.77	0.09%
	"Alabama"	"01"	"2004"	"2004"	6295	4530729	138.94	136.29	0.08%
	"Alabama"	"01"	"2005"	"2005"	5985	4569805	130.97	126.93	0.08%
	"Alabama"	"01"	"2006"	"2006"	6038	4628981	130.44	125.53	0.08%
	"Alabama"	"01"	"2007"	"2007"	5535	4672840	118.45	112.61	0.07%
	"Alabama"	"01"	"2008"	"2008"	5660	4718206	119.96	113.36	0.07%
	"Alabama"	"01"	"2009"	"2009"	5610	4757938	117.91	110.18	0.07%
	"Alabama"	"01"	"2010"	"2010"	5557	4779736	116.26	107.53	0.07%
	"Alabama"	"01"	"2011"	"2011"	5517	4802740	114.87	104.51	0.07%
	"Alabama"	"01"	"2012"	"2012"	5303	4822023	109.97	98.82	0.07%
	"Alabama"	"01"	"2013"	"2013"	5355	4833722	110.78	97.21	0.07%
	"Alabama"	"01"	"2014"	"2014"	5147	4849377	106.14	91.83	0.07%
	"Alabama"	"01"	"2015"	"2015"	5128	4858979	105.54	89.66	0.07%
	"Alabama"	"01"	"2016"	"2016"	5037	4863300	103.57	86.33	0.07%
"Total"	"Alabama"	"01"			107743	84016831	128.24	119.50	1.41%
	"Alaska"	"02"	"1999"	"1999"	383	624779	61.30	127.72	0.01%
	"Alaska"	"02"	"2000"	"2000"	408	626932	65.08	137.25	0.01%
	"Alaska"	"02"	"2001"	"2001"	381	633714	60.12	119.54	0.00%
	"Alaska"	"02"	"2002"	"2002"	395	642337	61.49	114.11	0.01%
	"Alaska"	"02"	"2003"	"2003"	390	648414	60.15	115.98	0.01%
	"Alaska"	"02"	"2004"	"2004"	377	659286	57.18	97.27	0.00%
	"Alaska"	"02"	"2005"	"2005"	373	666946	55.93	94.87	0.00%
	"Alaska"	"02"	"2006"	"2006"	351	675302	51.98	89.26	0.00%
	"Alaska"	"02"	"2007"	"2007"	344	680300	50.57	85.11	0.00%
	"Alaska"	"02"	"2008"	"2008"	374	687455	54.40	87.45	0.00%
	"Alaska"	"02"	"2009"	"2009"	446	698895	63.82	95.03	0.01%
	"Alaska"	"02"	"2010"	"2010"	386	710231	54.35	81.79	0.01%
	"Alaska"	"02"	"2011"	"2011"	430	722718	59.50	81.02	0.01%
	"Alaska"	"02"	"2012"	"2012"	414	731449	56.60	75.71	0.01%
	"Alaska"	"02"	"2013"	"2013"	385	735132	52.37	70.85	0.01%
	"Alaska"	"02"	"2014"	"2014"	454	736732	61.62	81.12	0.01%
	"Alaska"	"02"	"2015"	"2015"	490	738432	66.36	84.77	0.01%
	"Alaska"	"02"	"2016"	"2016"	470	741894	63.35	75.50	0.01%
"Total"	"Alaska"	"02"			7251	12360948	58.66	91.45	0.09%
	"Arizona"	"04"	"1999"	"1999"	8394	5023823	167.08	173.00	0.11%
	"Arizona"	"04"	"2000"	"2000"	8052	5130632	156.94	162.59	0.11%
	"Arizona"	"04"	"2001"	"2001"	7873	5273477	149.29	153.65	0.10%
	"Arizona"	"04"	"2002"	"2002"	8180	5396255	151.59	156.26	0.11%
	"Arizona"	"04"	"2003"	"2003"	8210	5510364	148.99	152.17	0.11%
	"Arizona"	"04"	"2004"	"2004"	7940	5652404	140.47	142.85	0.10%
	"Arizona"	"04"	"2005"	"2005"	8198	5839077	140.40	141.43	0.11%
	"Arizona"	"04"	"2006"	"2006"	7806	6029141	129.47	129.59	0.10%
	"Arizona"	"04"	"2007"	"2007"	7292	6167681	118.23	117.17	0.10%
	"Arizona"	"04"	"2008"	"2008"	7575	6280362	120.61	118.08	0.10%
	"Arizona"	"04"	"2009"	"2009"	7448	6343154	117.42	112.37	0.10%
	"Arizona"	"04"	"2010"	"2010"	7189	6392017	112.47	105.48	0.09%
	"Arizona"	"04"	"2011"	"2011"	7665	6482505	118.24	107.69	0.10%
	"Arizona"	"04"	"2012"	"2012"	7480	6553255	114.14	101.18	0.10%
	"Arizona"	"04"	"2013"	"2013"	7357	6626624	111.02	96.05	0.10%
	"Arizona"	"04"	"2014"	"2014"	7182	6731484	106.69	89.90	0.09%
	"Arizona"	"04"	"2015"	"2015"	7409	6828065	108.51	89.10	0.10%
	"Arizona"	"04"	"2016"	"2016"	7823	6931071	112.87	90.23	0.10%
"Total"	"Arizona"	"04"			139073	109191391	127.37	119.80	1.82%
	"Arkansas"	"05"	"1999"	"1999"	5473	2651860	206.38	189.40	0.07%
	"Arkansas"	"05"	"2000"	"2000"	5404	2673400	202.14	185.43	0.07%
	"Arkansas"	"05"	"2001"	"2001"	5498	2691571	204.27	187.60	0.07%
	"Arkansas"	"05"	"2002"	"2002"	5723	2705927	211.50	194.06	0.07%
	"Arkansas"	"05"	"2003"	"2003"	5416	2724816	198.77	182.36	0.07%
	"Arkansas"	"05"	"2004"	"2004"	5249	2749686	190.89	175.24	0.07%
	"Arkansas"	"05"	"2005"	"2005"	5304	2781097	190.72	174.83	0.07%
	"Arkansas"	"05"	"2006"	"2006"	5100	2821761	180.74	164.59	0.07%
	"Arkansas"	"05"	"2007"	"2007"	4863	2848650	170.71	154.83	0.06%
	"Arkansas"	"05"	"2008"	"2008"	4982	2874554	173.31	155.89	0.07%
	"Arkansas"	"05"	"2009"	"2009"	4848	2896843	167.35	149.42	0.06%
	"Arkansas"	"05"	"2010"	"2010"	4725	2915918	162.04	143.91	0.06%
	"Arkansas"	"05"	"2011"	"2011"	4647	2937979	158.17	137.72	0.06%
	"Arkansas"	"05"	"2012"	"2012"	4605	2949131	156.15	135.18	0.06%
	"Arkansas"	"05"	"2013"	"2013"	4356	2959373	147.19	125.63	0.06%
