"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	3148	4430141	71.06	71.45	0.12%
	"Alabama"	"01"	"2000"	"2000"	3183	4447100	71.57	71.47	0.12%
	"Alabama"	"01"	"2001"	"2001"	2998	4467634	67.10	66.86	0.12%
	"Alabama"	"01"	"2002"	"2002"	3201	4480089	71.45	71.16	0.12%
	"Alabama"	"01"	"2003"	"2003"	3028	4503491	67.24	66.98	0.12%
	"Alabama"	"01"	"2004"	"2004"	2986	4530729	65.91	65.46	0.12%
	"Alabama"	"01"	"2005"	"2005"	2952	4569805	64.60	63.35	0.11%
	"Alabama"	"01"	"2006"	"2006"	2740	4628981	59.19	57.78	0.11%
	"Alabama"	"01"	"2007"	"2007"	2747	4672840	58.79	56.91	0.11%
	"Alabama"	"01"	"2008"	"2008"	2863	4718206	60.68	58.21	0.11%
	"Alabama"	"01"	"2009"	"2009"	2675	4757938	56.22	53.58	0.10%
	"Alabama"	"01"	"2010"	"2010"	2619	4779736	54.79	51.64	0.10%
	"Alabama"	"01"	"2011"	"2011"	2568	4802740	53.47	49.40	0.10%
	"Alabama"	"01"	"2012"	"2012"	2628	4822023	54.50	49.46	0.10%
	"Alabama"	"01"	"2013"	"2013"	2604	4833722	53.87	48.06	0.10%
	"Alabama"	"01"	"2014"	"2014"	2663	4849377	54.91	48.34	0.10%
	"Alabama"	"01"	"2015"	"2015"	2937	4858979	60.44	52.16	0.11%
	"Alabama"	"01"	"2016"	"2016"	2967	4863300	61.01	51.59	0.11%
"Total"	"Alabama"	"01"			51507	84016831	61.31	57.92	2.00%
	"Alaska"	"02"	"1999"	"1999"	171	624779	27.37	71.24	0.01%
	"Alaska"	"02"	"2000"	"2000"	170	626932	27.12	66.08	0.01%
	"Alaska"	"02"	"2001"	"2001"	158	633714	24.93	57.87	0.01%
	"Alaska"	"02"	"2002"	"2002"	158	642337	24.60	55.97	0.01%
	"Alaska"	"02"	"2003"	"2003"	185	648414	28.53	62.26	0.01%
	"Alaska"	"02"	"2004"	"2004"	172	659286	26.09	52.77	0.01%
	"Alaska"	"02"	"2005"	"2005"	178	666946	26.69	54.88	0.01%
	"Alaska"	"02"	"2006"	"2006"	177	675302	26.21	48.19	0.01%
	"Alaska"	"02"	"2007"	"2007"	157	680300	23.08	47.04	0.01%
	"Alaska"	"02"	"2008"	"2008"	172	687455	25.02	44.51	0.01%
	"Alaska"	"02"	"2009"	"2009"	162	698895	23.18	41.83	0.01%
	"Alaska"	"02"	"2010"	"2010"	167	710231	23.51	40.85	0.01%
	"Alaska"	"02"	"2011"	"2011"	168	722718	23.25	39.41	0.01%
	"Alaska"	"02"	"2012"	"2012"	188	731449	25.70	42.53	0.01%
	"Alaska"	"02"	"2013"	"2013"	189	735132	25.71	40.72	0.01%
	"Alaska"	"02"	"2014"	"2014"	157	736732	21.31	32.30	0.01%
	"Alaska"	"02"	"2015"	"2015"	182	738432	24.65	36.84	0.01%
	"Alaska"	"02"	"2016"	"2016"	196	741894	26.42	39.03	0.01%
"Total"	"Alaska"	"02"			3107	12360948	25.14	46.35	0.12%
	"Arizona"	"04"	"1999"	"1999"	2600	5023823	51.75	54.41	0.10%
	"Arizona"	"04"	"2000"	"2000"	2648	5130632	51.61	53.83	0.10%
	"Arizona"	"04"	"2001"	"2001"	2480	5273477	47.03	49.02	0.10%
	"Arizona"	"04"	"2002"	"2002"	2535	5396255	46.98	49.06	0.10%
	"Arizona"	"04"	"2003"	"2003"	2428	5510364	44.06	45.46	0.09%
	"Arizona"	"04"	"2004"	"2004"	2446	5652404	43.27	44.57	0.09%
	"Arizona"	"04"	"2005"	"2005"	2364	5839077	40.49	41.44	0.09%
	"Arizona"	"04"	"2006"	"2006"	2226	6029141	36.92	37.50	0.09%
	"Arizona"	"04"	"2007"	"2007"	2207	6167681	35.78	35.89	0.09%
	"Arizona"	"04"	"2008"	"2008"	2147	6280362	34.19	33.88	0.08%
	"Arizona"	"04"	"2009"	"2009"	2072	6343154	32.67	31.72	0.08%
	"Arizona"	"04"	"2010"	"2010"	2138	6392017	33.45	31.90	0.08%
	"Arizona"	"04"	"2011"	"2011"	2148	6482505	33.14	30.59	0.08%
