"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	1228	4430141	27.72	28.20	0.12%
	"Alabama"	"01"	"2000"	"2000"	1138	4447100	25.59	25.74	0.11%
	"Alabama"	"01"	"2001"	"2001"	1105	4467634	24.73	24.91	0.11%
	"Alabama"	"01"	"2002"	"2002"	1218	4480089	27.19	27.36	0.12%
	"Alabama"	"01"	"2003"	"2003"	1157	4503491	25.69	25.86	0.11%
	"Alabama"	"01"	"2004"	"2004"	994	4530729	21.94	22.10	0.10%
	"Alabama"	"01"	"2005"	"2005"	1011	4569805	22.12	22.01	0.10%
	"Alabama"	"01"	"2006"	"2006"	918	4628981	19.83	19.52	0.09%
	"Alabama"	"01"	"2007"	"2007"	898	4672840	19.22	18.80	0.09%
	"Alabama"	"01"	"2008"	"2008"	912	4718206	19.33	18.66	0.09%
	"Alabama"	"01"	"2009"	"2009"	952	4757938	20.01	19.18	0.09%
	"Alabama"	"01"	"2010"	"2010"	942	4779736	19.71	18.66	0.09%
	"Alabama"	"01"	"2011"	"2011"	951	4802740	19.80	18.56	0.09%
	"Alabama"	"01"	"2012"	"2012"	942	4822023	19.54	17.87	0.09%
	"Alabama"	"01"	"2013"	"2013"	1035	4833722	21.41	19.22	0.10%
	"Alabama"	"01"	"2014"	"2014"	1031	4849377	21.26	18.84	0.10%
	"Alabama"	"01"	"2015"	"2015"	1097	4858979	22.58	19.46	0.11%
	"Alabama"	"01"	"2016"	"2016"	987	4863300	20.29	17.13	0.09%
"Total"	"Alabama"	"01"			18516	84016831	22.04	21.01	1.78%
	"Alaska"	"02"	"1999"	"1999"	46	624779	7.36	19.57	0.00%
	"Alaska"	"02"	"2000"	"2000"	45	626932	7.18	16.04	0.00%
	"Alaska"	"02"	"2001"	"2001"	36	633714	5.68	13.06	0.00%
	"Alaska"	"02"	"2002"	"2002"	51	642337	7.94	19.51	0.00%
	"Alaska"	"02"	"2003"	"2003"	60	648414	9.25	21.18	0.01%
	"Alaska"	"02"	"2004"	"2004"	42	659286	6.37	15.12	0.00%
	"Alaska"	"02"	"2005"	"2005"	44	666946	6.60	12.65	0.00%
	"Alaska"	"02"	"2006"	"2006"	49	675302	7.26	13.96	0.00%
	"Alaska"	"02"	"2007"	"2007"	48	680300	7.06	13.68	0.00%
	"Alaska"	"02"	"2008"	"2008"	51	687455	7.42	13.21	0.00%
	"Alaska"	"02"	"2009"	"2009"	51	698895	7.30	12.51	0.00%
	"Alaska"	"02"	"2010"	"2010"	64	710231	9.01	15.84	0.01%
	"Alaska"	"02"	"2011"	"2011"	58	722718	8.03	12.61	0.01%
	"Alaska"	"02"	"2012"	"2012"	52	731449	7.11	9.98	0.01%
	"Alaska"	"02"	"2013"	"2013"	66	735132	8.98	14.06	0.01%
	"Alaska"	"02"	"2014"	"2014"	68	736732	9.23	14.11	0.01%
	"Alaska"	"02"	"2015"	"2015"	41	738432	5.55	8.41	0.00%
	"Alaska"	"02"	"2016"	"2016"	61	741894	8.22	12.54	0.01%
"Total"	"Alaska"	"02"			933	12360948	7.55	13.81	0.09%
	"Arizona"	"04"	"1999"	"1999"	1287	5023823	25.62	27.22	0.12%
	"Arizona"	"04"	"2000"	"2000"	1222	5130632	23.82	25.22	0.12%
	"Arizona"	"04"	"2001"	"2001"	1133	5273477	21.48	22.56	0.11%
	"Arizona"	"04"	"2002"	"2002"	1319	5396255	24.44	25.62	0.13%
	"Arizona"	"04"	"2003"	"2003"	1286	5510364	23.34	24.20	0.12%
	"Arizona"	"04"	"2004"	"2004"	1111	5652404	19.66	20.29	0.11%
	"Arizona"	"04"	"2005"	"2005"	1297	5839077	22.21	22.58	0.12%
	"Arizona"	"04"	"2006"	"2006"	1166	6029141	19.34	19.56	0.11%
	"Arizona"	"04"	"2007"	"2007"	905	6167681	14.67	14.77	0.09%
	"Arizona"	"04"	"2008"	"2008"	1068	6280362	17.01	16.82	0.10%
	"Arizona"	"04"	"2009"	"2009"	1058	6343154	16.68	16.18	0.10%
	"Arizona"	"04"	"2010"	"2010"	768	6392017	12.01	11.42	0.07%
	"Arizona"	"04"	"2011"	"2011"	690	6482505	10.64	9.95	0.07%
	"Arizona"	"04"	"2012"	"2012"	683	6553255	10.42	9.45	0.07%
	"Arizona"	"04"	"2013"	"2013"	776	6626624	11.71	10.38	0.07%
	"Arizona"	"04"	"2014"	"2014"	779	6731484	11.57	10.02	0.07%
	"Arizona"	"04"	"2015"	"2015"	775	6828065	11.35	9.47	0.07%
	"Arizona"	"04"	"2016"	"2016"	885	6931071	12.77	10.39	0.09%
"Total"	"Arizona"	"04"			18208	109191391	16.68	15.97	1.75%
	"Arkansas"	"05"	"1999"	"1999"	741	2651860	27.94	25.47	0.07%
	"Arkansas"	"05"	"2000"	"2000"	798	2673400	29.85	27.23	0.08%
	"Arkansas"	"05"	"2001"	"2001"	735	2691571	27.31	25.08	0.07%
	"Arkansas"	"05"	"2002"	"2002"	776	2705927	28.68	26.35	0.07%
	"Arkansas"	"05"	"2003"	"2003"	921	2724816	33.80	31.12	0.09%
	"Arkansas"	"05"	"2004"	"2004"	759	2749686	27.60	25.54	0.07%
	"Arkansas"	"05"	"2005"	"2005"	886	2781097	31.86	29.39	0.09%
	"Arkansas"	"05"	"2006"	"2006"	772	2821761	27.36	25.14	0.07%
	"Arkansas"	"05"	"2007"	"2007"	734	2848650	25.77	23.52	0.07%
	"Arkansas"	"05"	"2008"	"2008"	846	2874554	29.43	26.81	0.08%
	"Arkansas"	"05"	"2009"	"2009"	705	2896843	24.34	22.07	0.07%
	"Arkansas"	"05"	"2010"	"2010"	647	2915918	22.19	19.90	0.06%
	"Arkansas"	"05"	"2011"	"2011"	727	2937979	24.74	21.84	0.07%
	"Arkansas"	"05"	"2012"	"2012"	734	2949131	24.89	21.87	0.07%
	"Arkansas"	"05"	"2013"	"2013"	794	2959373	26.83	23.25	0.08%
	"Arkansas"	"05"	"2014"	"2014"	710	2966369	23.93	20.75	0.07%
	"Arkansas"	"05"	"2015"	"2015"	700	2978204	23.50	19.97	0.07%
	"Arkansas"	"05"	"2016"	"2016"	623	2988248	20.85	17.15	0.06%
"Total"	"Arkansas"	"05"			13608	51115387	26.62	23.84	1.31%
	"California"	"06"	"1999"	"1999"	4560	33499204	13.61	16.48	0.44%
	"California"	"06"	"2000"	"2000"	8324	33871648	24.58	29.46	0.80%
	"California"	"06"	"2001"	"2001"	8129	34479458	23.58	28.06	0.78%
	"California"	"06"	"2002"	"2002"	8128	34871843	23.31	27.51	0.78%
	"California"	"06"	"2003"	"2003"	8185	35253159	23.22	27.02	0.79%
	"California"	"06"	"2004"	"2004"	7323	35574576	20.58	23.80	0.70%
	"California"	"06"	"2005"	"2005"	7553	35827943	21.08	23.84	0.73%
	"California"	"06"	"2006"	"2006"	7338	36021202	20.37	22.71	0.71%
	"California"	"06"	"2007"	"2007"	6546	36250311	18.06	19.70	0.63%
	"California"	"06"	"2008"	"2008"	6560	36604337	17.92	19.15	0.63%
	"California"	"06"	"2009"	"2009"	6394	36961229	17.30	18.10	0.62%
	"California"	"06"	"2010"	"2010"	5882	37253956	15.79	16.40	0.57%
	"California"	"06"	"2011"	"2011"	6200	37691912	16.45	16.58	0.60%
	"California"	"06"	"2012"	"2012"	5849	38041430	15.38	15.19	0.56%
	"California"	"06"	"2013"	"2013"	6551	38332521	17.09	16.55	0.63%
	"California"	"06"	"2014"	"2014"	5970	38802500	15.39	14.69	0.57%
	"California"	"06"	"2015"	"2015"	6188	39144818	15.81	14.82	0.60%
	"California"	"06"	"2016"	"2016"	5981	39250017	15.24	14.01	0.58%
"Total"	"California"	"06"			121661	657732064	18.50	19.66	11.71%
	"Colorado"	"08"	"1999"	"1999"	807	4226018	19.10	25.25	0.08%
	"Colorado"	"08"	"2000"	"2000"	607	4301261	14.11	18.63	0.06%
	"Colorado"	"08"	"2001"	"2001"	650	4425687	14.69	19.30	0.06%
	"Colorado"	"08"	"2002"	"2002"	752	4490406	16.75	21.89	0.07%
	"Colorado"	"08"	"2003"	"2003"	810	4528732	17.89	22.99	0.08%
	"Colorado"	"08"	"2004"	"2004"	637	4575013	13.92	17.47	0.06%
	"Colorado"	"08"	"2005"	"2005"	666	4631888	14.38	17.58	0.06%
	"Colorado"	"08"	"2006"	"2006"	614	4720423	13.01	15.61	0.06%
	"Colorado"	"08"	"2007"	"2007"	592	4803868	12.32	14.52	0.06%
	"Colorado"	"08"	"2008"	"2008"	678	4889730	13.87	15.94	0.07%
	"Colorado"	"08"	"2009"	"2009"	658	4972195	13.23	14.80	0.06%
	"Colorado"	"08"	"2010"	"2010"	550	5029196	10.94	12.34	0.05%
	"Colorado"	"08"	"2011"	"2011"	618	5116796	12.08	13.06	0.06%
	"Colorado"	"08"	"2012"	"2012"	525	5187582	10.12	10.97	0.05%
	"Colorado"	"08"	"2013"	"2013"	606	5268367	11.50	11.96	0.06%
	"Colorado"	"08"	"2014"	"2014"	701	5355866	13.09	13.32	0.07%
	"Colorado"	"08"	"2015"	"2015"	659	5456574	12.08	12.35	0.06%
