"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	2313	4430141	52.21	52.17	0.11%
	"Alabama"	"01"	"2000"	"2000"	2093	4447100	47.06	47.02	0.10%
	"Alabama"	"01"	"2001"	"2001"	2211	4467634	49.49	49.45	0.10%
	"Alabama"	"01"	"2002"	"2002"	2228	4480089	49.73	49.59	0.10%
	"Alabama"	"01"	"2003"	"2003"	2179	4503491	48.38	48.27	0.10%
	"Alabama"	"01"	"2004"	"2004"	2403	4530729	53.04	52.98	0.11%
	"Alabama"	"01"	"2005"	"2005"	2395	4569805	52.41	51.90	0.11%
	"Alabama"	"01"	"2006"	"2006"	2506	4628981	54.14	53.99	0.12%
	"Alabama"	"01"	"2007"	"2007"	2542	4672840	54.40	53.80	0.12%
	"Alabama"	"01"	"2008"	"2008"	2509	4718206	53.18	52.52	0.12%
	"Alabama"	"01"	"2009"	"2009"	2351	4757938	49.41	49.04	0.11%
	"Alabama"	"01"	"2010"	"2010"	2394	4779736	50.09	49.61	0.11%
	"Alabama"	"01"	"2011"	"2011"	2662	4802740	55.43	54.36	0.12%
	"Alabama"	"01"	"2012"	"2012"	2283	4822023	47.35	46.57	0.10%
	"Alabama"	"01"	"2013"	"2013"	2329	4833722	48.18	47.24	0.11%
	"Alabama"	"01"	"2014"	"2014"	2463	4849377	50.79	49.25	0.11%
	"Alabama"	"01"	"2015"	"2015"	2552	4858979	52.52	50.92	0.12%
	"Alabama"	"01"	"2016"	"2016"	2755	4863300	56.65	55.52	0.13%
"Total"	"Alabama"	"01"			43168	84016831	51.38	50.75	1.98%
	"Alaska"	"02"	"1999"	"1999"	294	624779	47.06	55.91	0.01%
	"Alaska"	"02"	"2000"	"2000"	343	626932	54.71	64.48	0.02%
	"Alaska"	"02"	"2001"	"2001"	345	633714	54.44	60.54	0.02%
	"Alaska"	"02"	"2002"	"2002"	346	642337	53.87	59.16	0.02%
	"Alaska"	"02"	"2003"	"2003"	321	648414	49.51	55.39	0.01%
	"Alaska"	"02"	"2004"	"2004"	326	659286	49.45	56.02	0.01%
	"Alaska"	"02"	"2005"	"2005"	313	666946	46.93	50.77	0.01%
	"Alaska"	"02"	"2006"	"2006"	316	675302	46.79	52.30	0.01%
