"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	1214	4430141	27.40	27.24	0.15%
	"Alabama"	"01"	"2000"	"2000"	1119	4447100	25.16	25.06	0.14%
	"Alabama"	"01"	"2001"	"2001"	1121	4467634	25.09	25.03	0.14%
	"Alabama"	"01"	"2002"	"2002"	1167	4480089	26.05	25.93	0.15%
	"Alabama"	"01"	"2003"	"2003"	1116	4503491	24.78	24.70	0.14%
	"Alabama"	"01"	"2004"	"2004"	1303	4530729	28.76	28.68	0.17%
	"Alabama"	"01"	"2005"	"2005"	1227	4569805	26.85	26.52	0.16%
	"Alabama"	"01"	"2006"	"2006"	1277	4628981	27.59	27.59	0.16%
	"Alabama"	"01"	"2007"	"2007"	1248	4672840	26.71	26.41	0.16%
	"Alabama"	"01"	"2008"	"2008"	1126	4718206	23.87	23.61	0.14%
	"Alabama"	"01"	"2009"	"2009"	971	4757938	20.41	20.12	0.12%
	"Alabama"	"01"	"2010"	"2010"	976	4779736	20.42	20.27	0.12%
	"Alabama"	"01"	"2011"	"2011"	1000	4802740	20.82	20.73	0.13%
	"Alabama"	"01"	"2012"	"2012"	904	4822023	18.75	18.60	0.12%
	"Alabama"	"01"	"2013"	"2013"	941	4833722	19.47	19.47	0.12%
	"Alabama"	"01"	"2014"	"2014"	934	4849377	19.26	18.96	0.12%
	"Alabama"	"01"	"2015"	"2015"	1001	4858979	20.60	20.20	0.13%
	"Alabama"	"01"	"2016"	"2016"	1191	4863300	24.49	24.52	0.15%
"Total"	"Alabama"	"01"			19836	84016831	23.61	23.48	2.53%
	"Alaska"	"02"	"1999"	"1999"	129	624779	20.65	22.41	0.02%
	"Alaska"	"02"	"2000"	"2000"	179	626932	28.55	31.27	0.02%
	"Alaska"	"02"	"2001"	"2001"	141	633714	22.25	23.95	0.02%
	"Alaska"	"02"	"2002"	"2002"	152	642337	23.66	25.47	0.02%
	"Alaska"	"02"	"2003"	"2003"	153	648414	23.60	24.42	0.02%
	"Alaska"	"02"	"2004"	"2004"	149	659286	22.60	23.24	0.02%
	"Alaska"	"02"	"2005"	"2005"	126	666946	18.89	19.49	0.02%
	"Alaska"	"02"	"2006"	"2006"	115	675302	17.03	17.29	0.01%
	"Alaska"	"02"	"2007"	"2007"	130	680300	19.11	18.66	0.02%
	"Alaska"	"02"	"2008"	"2008"	88	687455	12.80	13.26	0.01%
	"Alaska"	"02"	"2009"	"2009"	94	698895	13.45	13.64	0.01%
	"Alaska"	"02"	"2010"	"2010"	111	710231	15.63	16.33	0.01%
	"Alaska"	"02"	"2011"	"2011"	121	722718	16.74	17.26	0.02%
	"Alaska"	"02"	"2012"	"2012"	91	731449	12.44	12.45	0.01%
	"Alaska"	"02"	"2013"	"2013"	102	735132	13.88	13.44	0.01%
	"Alaska"	"02"	"2014"	"2014"	111	736732	15.07	14.22	0.01%
	"Alaska"	"02"	"2015"	"2015"	91	738432	12.32	12.74	0.01%
	"Alaska"	"02"	"2016"	"2016"	143	741894	19.27	19.13	0.02%
"Total"	"Alaska"	"02"			2226	12360948	18.01	18.42	0.28%
	"Arizona"	"04"	"1999"	"1999"	1040	5023823	20.70	20.75	0.13%
	"Arizona"	"04"	"2000"	"2000"	1088	5130632	21.21	21.36	0.14%
	"Arizona"	"04"	"2001"	"2001"	1141	5273477	21.64	21.69	0.15%
	"Arizona"	"04"	"2002"	"2002"	1181	5396255	21.89	22.00	0.15%
	"Arizona"	"04"	"2003"	"2003"	1175	5510364	21.32	21.51	0.15%
	"Arizona"	"04"	"2004"	"2004"	1206	5652404	21.34	21.19	0.15%
	"Arizona"	"04"	"2005"	"2005"	1281	5839077	21.94	22.09	0.16%
	"Arizona"	"04"	"2006"	"2006"	1435	6029141	23.80	23.78	0.18%
	"Arizona"	"04"	"2007"	"2007"	1197	6167681	19.41	19.55	0.15%
	"Arizona"	"04"	"2008"	"2008"	1068	6280362	17.01	16.92	0.14%
	"Arizona"	"04"	"2009"	"2009"	888	6343154	14.00	13.92	0.11%
	"Arizona"	"04"	"2010"	"2010"	859	6392017	13.44	13.32	0.11%
	"Arizona"	"04"	"2011"	"2011"	927	6482505	14.30	14.10	0.12%
	"Arizona"	"04"	"2012"	"2012"	878	6553255	13.40	13.23	0.11%
	"Arizona"	"04"	"2013"	"2013"	929	6626624	14.02	13.67	0.12%
	"Arizona"	"04"	"2014"	"2014"	907	6731484	13.47	13.11	0.12%
	"Arizona"	"04"	"2015"	"2015"	983	6828065	14.40	14.27	0.13%
	"Arizona"	"04"	"2016"	"2016"	1058	6931071	15.26	14.93	0.13%
"Total"	"Arizona"	"04"			19241	109191391	17.62	17.57	2.45%
