"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	1099	4430141	24.81	24.95	0.08%
	"Alabama"	"01"	"2000"	"2000"	974	4447100	21.90	21.97	0.07%
	"Alabama"	"01"	"2001"	"2001"	1090	4467634	24.40	24.43	0.08%
	"Alabama"	"01"	"2002"	"2002"	1061	4480089	23.68	23.65	0.08%
	"Alabama"	"01"	"2003"	"2003"	1063	4503491	23.60	23.59	0.08%
	"Alabama"	"01"	"2004"	"2004"	1100	4530729	24.28	24.33	0.08%
	"Alabama"	"01"	"2005"	"2005"	1168	4569805	25.56	25.38	0.08%
	"Alabama"	"01"	"2006"	"2006"	1229	4628981	26.55	26.42	0.09%
	"Alabama"	"01"	"2007"	"2007"	1294	4672840	27.69	27.37	0.09%
	"Alabama"	"01"	"2008"	"2008"	1383	4718206	29.31	28.90	0.10%
	"Alabama"	"01"	"2009"	"2009"	1380	4757938	29.00	28.93	0.10%
	"Alabama"	"01"	"2010"	"2010"	1418	4779736	29.67	29.33	0.10%
	"Alabama"	"01"	"2011"	"2011"	1662	4802740	34.61	33.65	0.12%
	"Alabama"	"01"	"2012"	"2012"	1379	4822023	28.60	27.99	0.10%
	"Alabama"	"01"	"2013"	"2013"	1388	4833722	28.71	27.79	0.10%
	"Alabama"	"01"	"2014"	"2014"	1529	4849377	31.53	30.30	0.11%
	"Alabama"	"01"	"2015"	"2015"	1551	4858979	31.92	30.72	0.11%
	"Alabama"	"01"	"2016"	"2016"	1564	4863300	32.16	31.00	0.11%
"Total"	"Alabama"	"01"			23332	84016831	27.77	27.29	1.67%
	"Alaska"	"02"	"1999"	"1999"	165	624779	26.41	33.51	0.01%
	"Alaska"	"02"	"2000"	"2000"	164	626932	26.16	33.17	0.01%
	"Alaska"	"02"	"2001"	"2001"	204	633714	32.19	36.60	0.01%
	"Alaska"	"02"	"2002"	"2002"	194	642337	30.20	33.66	0.01%
	"Alaska"	"02"	"2003"	"2003"	168	648414	25.91	30.97	0.01%
	"Alaska"	"02"	"2004"	"2004"	177	659286	26.85	32.77	0.01%
	"Alaska"	"02"	"2005"	"2005"	187	666946	28.04	31.26	0.01%
