"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	555	4430141	12.53	12.46	0.09%
	"Alabama"	"01"	"2000"	"2000"	583	4447100	13.11	13.11	0.09%
	"Alabama"	"01"	"2001"	"2001"	512	4467634	11.46	11.37	0.08%
	"Alabama"	"01"	"2002"	"2002"	514	4480089	11.47	11.45	0.08%
	"Alabama"	"01"	"2003"	"2003"	521	4503491	11.57	11.44	0.08%
	"Alabama"	"01"	"2004"	"2004"	541	4530729	11.94	11.73	0.08%
	"Alabama"	"01"	"2005"	"2005"	535	4569805	11.71	11.52	0.08%
	"Alabama"	"01"	"2006"	"2006"	580	4628981	12.53	12.37	0.09%
	"Alabama"	"01"	"2007"	"2007"	592	4672840	12.67	12.42	0.09%
	"Alabama"	"01"	"2008"	"2008"	604	4718206	12.80	12.56	0.09%
	"Alabama"	"01"	"2009"	"2009"	673	4757938	14.14	13.73	0.10%
	"Alabama"	"01"	"2010"	"2010"	679	4779736	14.21	13.95	0.10%
	"Alabama"	"01"	"2011"	"2011"	654	4802740	13.62	13.21	0.10%
	"Alabama"	"01"	"2012"	"2012"	724	4822023	15.01	14.74	0.11%
	"Alabama"	"01"	"2013"	"2013"	721	4833722	14.92	14.40	0.11%
	"Alabama"	"01"	"2014"	"2014"	715	4849377	14.74	14.49	0.11%
	"Alabama"	"01"	"2015"	"2015"	750	4858979	15.44	14.92	0.12%
	"Alabama"	"01"	"2016"	"2016"	788	4863300	16.20	15.66	0.12%
"Total"	"Alabama"	"01"			11241	84016831	13.38	13.12	1.73%
	"Alaska"	"02"	"1999"	"1999"	96	624779	15.37	16.79	0.01%
	"Alaska"	"02"	"2000"	"2000"	137	626932	21.85	21.47	0.02%
	"Alaska"	"02"	"2001"	"2001"	102	633714	16.10	15.94	0.02%
	"Alaska"	"02"	"2002"	"2002"	132	642337	20.55	20.77	0.02%
	"Alaska"	"02"	"2003"	"2003"	124	648414	19.12	20.32	0.02%
	"Alaska"	"02"	"2004"	"2004"	155	659286	23.51	23.02	0.02%
	"Alaska"	"02"	"2005"	"2005"	131	666946	19.64	19.90	0.02%
	"Alaska"	"02"	"2006"	"2006"	135	675302	19.99	19.91	0.02%
	"Alaska"	"02"	"2007"	"2007"	149	680300	21.90	22.55	0.02%
	"Alaska"	"02"	"2008"	"2008"	169	687455	24.58	24.35	0.03%
	"Alaska"	"02"	"2009"	"2009"	143	698895	20.46	20.00	0.02%
	"Alaska"	"02"	"2010"	"2010"	164	710231	23.09	22.78	0.03%
	"Alaska"	"02"	"2011"	"2011"	143	722718	19.79	20.03	0.02%
	"Alaska"	"02"	"2012"	"2012"	168	731449	22.97	23.03	0.03%
	"Alaska"	"02"	"2013"	"2013"	171	735132	23.26	23.16	0.03%
	"Alaska"	"02"	"2014"	"2014"	167	736732	22.67	22.06	0.03%
	"Alaska"	"02"	"2015"	"2015"	201	738432	27.22	26.87	0.03%
