"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	438	4430141	9.89	9.87	0.14%
	"Alabama"	"01"	"2000"	"2000"	444	4447100	9.98	10.02	0.14%
	"Alabama"	"01"	"2001"	"2001"	425	4467634	9.51	9.56	0.14%
	"Alabama"	"01"	"2002"	"2002"	416	4480089	9.29	9.31	0.13%
	"Alabama"	"01"	"2003"	"2003"	434	4503491	9.64	9.68	0.14%
	"Alabama"	"01"	"2004"	"2004"	369	4530729	8.14	8.25	0.12%
	"Alabama"	"01"	"2005"	"2005"	433	4569805	9.48	9.65	0.14%
	"Alabama"	"01"	"2006"	"2006"	445	4628981	9.61	9.72	0.14%
	"Alabama"	"01"	"2007"	"2007"	480	4672840	10.27	10.46	0.15%
	"Alabama"	"01"	"2008"	"2008"	454	4718206	9.62	9.83	0.14%
	"Alabama"	"01"	"2009"	"2009"	412	4757938	8.66	8.88	0.13%
	"Alabama"	"01"	"2010"	"2010"	391	4779736	8.18	8.27	0.12%
	"Alabama"	"01"	"2011"	"2011"	392	4802740	8.16	8.31	0.12%
	"Alabama"	"01"	"2012"	"2012"	405	4822023	8.40	8.66	0.13%
	"Alabama"	"01"	"2013"	"2013"	417	4833722	8.63	8.95	0.13%
	"Alabama"	"01"	"2014"	"2014"	374	4849377	7.71	8.07	0.12%
	"Alabama"	"01"	"2015"	"2015"	473	4858979	9.73	10.19	0.15%
	"Alabama"	"01"	"2016"	"2016"	544	4863300	11.19	11.79	0.17%
	"Alaska"	"02"	"1999"	"1999"	51	624779	8.16	8.11	0.02%
	"Alaska"	"02"	"2000"	"2000"	37	626932	5.90	5.64	0.01%
	"Alaska"	"02"	"2001"	"2001"	38	633714	6.00	5.69	0.01%
	"Alaska"	"02"	"2002"	"2002"	40	642337	6.23	5.86	0.01%
	"Alaska"	"02"	"2003"	"2003"	47	648414	7.25	6.89	0.01%
	"Alaska"	"02"	"2004"	"2004"	41	659286	6.22	6.06	0.01%
	"Alaska"	"02"	"2005"	"2005"	37	666946	5.55	5.24	0.01%
	"Alaska"	"02"	"2006"	"2006"	43	675302	6.37	6.20	0.01%
	"Alaska"	"02"	"2007"	"2007"	50	680300	7.35	7.24	0.02%
	"Alaska"	"02"	"2008"	"2008"	29	687455	4.22	4.42	0.01%
	"Alaska"	"02"	"2009"	"2009"	26	698895	3.72	3.92	0.01%
	"Alaska"	"02"	"2010"	"2010"	44	710231	6.20	6.08	0.01%
	"Alaska"	"02"	"2011"	"2011"	36	722718	4.98	4.80	0.01%
	"Alaska"	"02"	"2012"	"2012"	38	731449	5.20	4.99	0.01%
	"Alaska"	"02"	"2013"	"2013"	43	735132	5.85	5.65	0.01%
	"Alaska"	"02"	"2014"	"2014"	37	736732	5.02	4.70	0.01%
	"Alaska"	"02"	"2015"	"2015"	62	738432	8.40	8.00	0.02%
