"Notes"	"State"	"State Code"	"Year"	"Year Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	364	3853488	9.45
	"Alabama"	"01"	"1999"	"1999"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1570	3853488	40.74
	"Alabama"	"01"	"1999"	"1999"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	449	3853488	11.65
	"Alabama"	"01"	"1999"	"1999"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	137	3853488	3.56
	"Alabama"	"01"	"1999"	"1999"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	450	3853488	11.68
	"Alabama"	"01"	"2000"	"2000"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	345	3867302	8.92
	"Alabama"	"01"	"2000"	"2000"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1532	3867302	39.61
	"Alabama"	"01"	"2000"	"2000"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	477	3867302	12.33
	"Alabama"	"01"	"2000"	"2000"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	118	3867302	3.05
	"Alabama"	"01"	"2000"	"2000"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	472	3867302	12.20
	"Alabama"	"01"	"2001"	"2001"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	379	3883803	9.76
	"Alabama"	"01"	"2001"	"2001"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1558	3883803	40.12
	"Alabama"	"01"	"2001"	"2001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	466	3883803	12.00
	"Alabama"	"01"	"2001"	"2001"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	113	3883803	2.91
	"Alabama"	"01"	"2001"	"2001"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	421	3883803	10.84
	"Alabama"	"01"	"2002"	"2002"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	410	3894484	10.53
	"Alabama"	"01"	"2002"	"2002"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1565	3894484	40.19
	"Alabama"	"01"	"2002"	"2002"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	508	3894484	13.04
	"Alabama"	"01"	"2002"	"2002"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	134	3894484	3.44
	"Alabama"	"01"	"2002"	"2002"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	407	3894484	10.45
	"Alabama"	"01"	"2003"	"2003"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	406	3913119	10.38
	"Alabama"	"01"	"2003"	"2003"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1469	3913119	37.54
	"Alabama"	"01"	"2003"	"2003"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	474	3913119	12.11
	"Alabama"	"01"	"2003"	"2003"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	175	3913119	4.47
	"Alabama"	"01"	"2003"	"2003"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	428	3913119	10.94
	"Alabama"	"01"	"2004"	"2004"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	452	3936903	11.48
	"Alabama"	"01"	"2004"	"2004"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1440	3936903	36.58
	"Alabama"	"01"	"2004"	"2004"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	499	3936903	12.67
	"Alabama"	"01"	"2004"	"2004"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	120	3936903	3.05
	"Alabama"	"01"	"2004"	"2004"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	439	3936903	11.15
	"Alabama"	"01"	"2005"	"2005"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	454	3967703	11.44
	"Alabama"	"01"	"2005"	"2005"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1425	3967703	35.91
	"Alabama"	"01"	"2005"	"2005"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	572	3967703	14.42
