"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	12641	3853488	328.04
	"Alabama"	"01"	"2000"	"2000"	12604	3867302	325.91
	"Alabama"	"01"	"2001"	"2001"	12850	3883803	330.86
	"Alabama"	"01"	"2002"	"2002"	13102	3894484	336.42
	"Alabama"	"01"	"2003"	"2003"	13562	3913119	346.58
	"Alabama"	"01"	"2004"	"2004"	13801	3936903	350.55
	"Alabama"	"01"	"2005"	"2005"	14244	3967703	359.00
	"Alabama"	"01"	"2006"	"2006"	14673	4015901	365.37
	"Alabama"	"01"	"2007"	"2007"	14588	4050770	360.13
	"Alabama"	"01"	"2008"	"2008"	14865	4081262	364.23
	"Alabama"	"01"	"2009"	"2009"	14788	4108897	359.90
	"Alabama"	"01"	"2010"	"2010"	14795	4121944	358.93
	"Alabama"	"01"	"2011"	"2011"	15128	4130154	366.28
	"Alabama"	"01"	"2012"	"2012"	15199	4122643	368.67
	"Alabama"	"01"	"2013"	"2013"	15403	4112556	374.54
	"Alabama"	"01"	"2014"	"2014"	15404	4105445	375.21
	"Alabama"	"01"	"2015"	"2015"	15814	4094817	386.20
	"Alabama"	"01"	"2016"	"2016"	16100	4078749	394.73
"Total"	"Alabama"	"01"			259561	72339940	358.81
	"Alaska"	"02"	"1999"	"1999"	1257	590537	212.86
	"Alaska"	"02"	"2000"	"2000"	1350	591233	228.34
	"Alaska"	"02"	"2001"	"2001"	1421	596299	238.30
	"Alaska"	"02"	"2002"	"2002"	1510	603469	250.22
	"Alaska"	"02"	"2003"	"2003"	1458	608005	239.80
	"Alaska"	"02"	"2004"	"2004"	1465	617138	237.39
	"Alaska"	"02"	"2005"	"2005"	1478	623001	237.24
	"Alaska"	"02"	"2006"	"2006"	1518	629702	241.07
	"Alaska"	"02"	"2007"	"2007"	1620	632694	256.05
	"Alaska"	"02"	"2008"	"2008"	1586	637133	248.93
	"Alaska"	"02"	"2009"	"2009"	1622	646016	251.08
	"Alaska"	"02"	"2010"	"2010"	1636	655293	249.66
	"Alaska"	"02"	"2011"	"2011"	1734	664505	260.95
	"Alaska"	"02"	"2012"	"2012"	1728	668952	258.31
	"Alaska"	"02"	"2013"	"2013"	1785	669043	266.80
	"Alaska"	"02"	"2014"	"2014"	1795	667319	268.99
	"Alaska"	"02"	"2015"	"2015"	1860	665595	279.45
	"Alaska"	"02"	"2016"	"2016"	1909	664688	287.20
"Total"	"Alaska"	"02"			28732	11430622	251.36
	"Arizona"	"04"	"1999"	"1999"	10751	4363812	246.37
	"Arizona"	"04"	"2000"	"2000"	10964	4462793	245.68
	"Arizona"	"04"	"2001"	"2001"	11371	4590244	247.72
	"Arizona"	"04"	"2002"	"2002"	11922	4700133	253.65
	"Arizona"	"04"	"2003"	"2003"	12189	4798680	254.01
	"Arizona"	"04"	"2004"	"2004"	12345	4921780	250.82
	"Arizona"	"04"	"2005"	"2005"	13218	5082545	260.07
	"Arizona"	"04"	"2006"	"2006"	13616	5248877	259.41
	"Arizona"	"04"	"2007"	"2007"	13458	5364714	250.86
	"Arizona"	"04"	"2008"	"2008"	13242	5448198	243.05
	"Arizona"	"04"	"2009"	"2009"	13240	5482708	241.49
	"Arizona"	"04"	"2010"	"2010"	13319	5510186	241.72
	"Arizona"	"04"	"2011"	"2011"	13533	5560670	243.37
	"Arizona"	"04"	"2012"	"2012"	13896	5581722	248.96
	"Arizona"	"04"	"2013"	"2013"	14149	5607762	252.31
	"Arizona"	"04"	"2014"	"2014"	14201	5661267	250.84
	"Arizona"	"04"	"2015"	"2015"	14691	5708011	257.38
	"Arizona"	"04"	"2016"	"2016"	15328	5760147	266.10
"Total"	"Arizona"	"04"			235433	93854249	250.85
	"Arkansas"	"05"	"1999"	"1999"	6962	2279264	305.45
	"Arkansas"	"05"	"2000"	"2000"	7301	2299381	317.52
	"Arkansas"	"05"	"2001"	"2001"	7332	2317012	316.44
	"Arkansas"	"05"	"2002"	"2002"	7740	2330656	332.10
	"Arkansas"	"05"	"2003"	"2003"	7785	2347085	331.69
	"Arkansas"	"05"	"2004"	"2004"	8016	2369556	338.29
	"Arkansas"	"05"	"2005"	"2005"	8114	2396422	338.59
	"Arkansas"	"05"	"2006"	"2006"	8357	2429210	344.02
	"Arkansas"	"05"	"2007"	"2007"	8358	2449833	341.17
	"Arkansas"	"05"	"2008"	"2008"	8721	2466988	353.51
	"Arkansas"	"05"	"2009"	"2009"	8605	2482260	346.66
	"Arkansas"	"05"	"2010"	"2010"	8432	2495937	337.83
	"Arkansas"	"05"	"2011"	"2011"	8727	2508880	347.84
	"Arkansas"	"05"	"2012"	"2012"	8813	2506541	351.60
	"Arkansas"	"05"	"2013"	"2013"	8797	2504953	351.18
	"Arkansas"	"05"	"2014"	"2014"	8961	2500178	358.41
	"Arkansas"	"05"	"2015"	"2015"	9142	2501055	365.53
	"Arkansas"	"05"	"2016"	"2016"	9289	2501514	371.34
"Total"	"Arkansas"	"05"			149452	43686725	342.10
	"California"	"06"	"1999"	"1999"	59611	29938297	199.11
	"California"	"06"	"2000"	"2000"	60253	30275990	199.01
