"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"Large Central Metro"	"1"	"1999"	"1999"	7425	662845	1120.17	1057.25	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2000"	"2000"	7186	662047	1085.42	1023.19	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2001"	"2001"	7222	660197	1093.92	1033.30	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2002"	"2002"	7370	657518	1120.88	1057.78	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2003"	"2003"	7345	657513	1117.09	1057.22	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2004"	"2004"	7197	656023	1097.07	1034.56	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2005"	"2005"	7179	654919	1096.17	1026.73	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2006"	"2006"	7106	655893	1083.41	1008.88	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2007"	"2007"	6902	655163	1053.48	976.82	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2008"	"2008"	7161	656510	1090.77	1001.31	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2009"	"2009"	6807	658441	1033.81	942.17	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2010"	"2010"	6833	658466	1037.71	941.14	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2011"	"2011"	6850	658931	1039.56	932.67	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2012"	"2012"	6852	660009	1038.17	923.80	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2013"	"2013"	7001	659479	1061.60	935.29	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2014"	"2014"	6950	660793	1051.77	914.10	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2015"	"2015"	7182	660367	1087.58	941.15	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2016"	"2016"	7137	659521	1082.15	925.70	0.02%
"Total"	"Alabama"	"01"	"Large Central Metro"	"1"			127705	11854635	1077.26	984.26	0.28%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"1999"	"1999"	3480	384595	904.85	1025.99	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2000"	"2000"	3423	390191	877.26	990.75	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2001"	"2001"	3425	398885	858.64	958.27	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2002"	"2002"	3673	405448	905.91	1002.35	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2003"	"2003"	4019	413373	972.25	1071.05	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2004"	"2004"	3977	422181	942.01	1036.74	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2005"	"2005"	3891	431399	901.95	990.09	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2006"	"2006"	4013	442925	906.02	982.60	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2007"	"2007"	3855	452093	852.70	911.85	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2008"	"2008"	4041	460591	877.35	924.22	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2009"	"2009"	4011	466830	859.20	899.04	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2010"	"2010"	4062	469581	865.03	892.73	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2011"	"2011"	4434	473333	936.76	938.07	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2012"	"2012"	4487	476641	941.38	919.68	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2013"	"2013"	4499	480821	935.69	891.46	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2014"	"2014"	4539	482979	939.79	876.80	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2015"	"2015"	4689	485280	966.25	881.06	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2016"	"2016"	4888	487896	1001.85	890.88	0.01%
"Total"	"Alabama"	"01"	"Large Fringe Metro"	"2"			73406	8025042	914.71	940.49	0.16%
	"Alabama"	"01"	"Medium Metro"	"3"	"1999"	"1999"	10181	1133417	898.26	999.88	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2000"	"2000"	10386	1138503	912.25	1006.69	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2001"	"2001"	10239	1146929	892.73	978.19	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2002"	"2002"	10445	1153138	905.79	984.87	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2003"	"2003"	10600	1159478	914.20	989.62	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2004"	"2004"	10629	1167714	910.24	978.81	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2005"	"2005"	10807	1180109	915.76	971.19	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2006"	"2006"	10908	1202185	907.35	951.36	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2007"	"2007"	11029	1218101	905.43	942.29	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2008"	"2008"	11072	1233240	897.80	922.94	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2009"	"2009"	11015	1248198	882.47	897.88	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2010"	"2010"	11184	1258068	888.98	899.35	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2011"	"2011"	11222	1271237	882.76	877.70	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2012"	"2012"	11676	1279639	912.44	890.72	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2013"	"2013"	11682	1282911	910.59	868.79	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2014"	"2014"	11866	1288958	920.59	865.60	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2015"	"2015"	12313	1293599	951.84	879.38	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2016"	"2016"	12694	1296650	978.98	891.06	0.03%
"Total"	"Alabama"	"01"	"Medium Metro"	"3"			199948	21952074	910.84	928.03	0.45%
	"Alabama"	"01"	"Small Metro"	"4"	"1999"	"1999"	10558	1089276	969.27	962.83	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2000"	"2000"	11038	1093902	1009.05	993.40	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2001"	"2001"	11233	1102177	1019.16	999.70	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2002"	"2002"	10985	1107921	991.50	969.88	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2003"	"2003"	11429	1118032	1022.24	995.15	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2004"	"2004"	11135	1129680	985.68	955.71	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2005"	"2005"	11720	1147271	1021.55	983.44	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2006"	"2006"	11664	1167518	999.04	957.97	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2007"	"2007"	11734	1182639	992.19	942.84	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2008"	"2008"	11897	1197658	993.36	935.99	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2009"	"2009"	12063	1213822	993.80	929.49	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2010"	"2010"	12354	1222281	1010.73	935.28	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2011"	"2011"	12443	1232191	1009.83	922.73	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2012"	"2012"	12502	1241965	1006.63	907.96	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2013"	"2013"	13013	1251150	1040.08	924.34	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2014"	"2014"	13042	1260392	1034.76	907.89	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2015"	"2015"	13490	1267088	1064.65	920.42	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2016"	"2016"	13268	1272731	1042.48	890.43	0.03%
"Total"	"Alabama"	"01"	"Small Metro"	"4"			215568	21297694	1012.17	943.21	0.48%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"1999"	"1999"	5499	510099	1078.03	1029.78	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2000"	"2000"	5516	511460	1078.48	1022.41	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2001"	"2001"	5651	511896	1103.94	1039.45	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2002"	"2002"	5827	511793	1138.55	1075.22	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2003"	"2003"	5775	512778	1126.22	1066.77	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2004"	"2004"	5639	514635	1095.73	1031.18	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2005"	"2005"	5799	516692	1122.33	1044.60	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2006"	"2006"	5887	520060	1131.98	1044.97	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2007"	"2007"	5772	523927	1101.68	1011.92	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2008"	"2008"	5967	528462	1129.13	1028.05	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2009"	"2009"	5972	530106	1126.57	1022.63	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2010"	"2010"	5842	531615	1098.92	990.13	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2011"	"2011"	5997	531126	1129.11	1002.22	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2012"	"2012"	6125	532769	1149.65	1004.87	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2013"	"2013"	6228	530835	1173.25	1010.27	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2014"	"2014"	5942	530367	1120.36	949.91	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2015"	"2015"	6298	529811	1188.73	990.01	0.01%
