"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"Large Central Metro"	"1"	"1999"	"1999"	11	662845	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2000"	"2000"	Suppressed	662047	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Large Central Metro"	"1"	"2001"	"2001"	13	660197	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2002"	"2002"	20	657518	3.04	2.87	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2003"	"2003"	12	657513	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2004"	"2004"	14	656023	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2005"	"2005"	22	654919	3.36	3.13	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2006"	"2006"	24	655893	3.66	3.58	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2007"	"2007"	14	655163	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2008"	"2008"	14	656510	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2009"	"2009"	18	658441	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2010"	"2010"	17	658466	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2011"	"2011"	20	658931	3.04	2.68	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2012"	"2012"	16	660009	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2013"	"2013"	15	659479	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2014"	"2014"	26	660793	3.93	3.41	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2015"	"2015"	13	660367	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2016"	"2016"	Suppressed	659521	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"1999"	"1999"	13	384595	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2000"	"2000"	Suppressed	390191	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2001"	"2001"	Suppressed	398885	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2002"	"2002"	11	405448	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2003"	"2003"	14	413373	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2004"	"2004"	Suppressed	422181	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2005"	"2005"	24	431399	5.56	5.43	0.02%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2006"	"2006"	12	442925	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2007"	"2007"	13	452093	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2008"	"2008"	19	460591	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2009"	"2009"	21	466830	4.50	4.41	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2010"	"2010"	15	469581	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2011"	"2011"	15	473333	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2012"	"2012"	20	476641	4.20	3.98	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2013"	"2013"	12	480821	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2014"	"2014"	Suppressed	482979	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2015"	"2015"	16	485280	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2016"	"2016"	15	487896	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Medium Metro"	"3"	"1999"	"1999"	22	1133417	1.94	2.06	0.01%
	"Alabama"	"01"	"Medium Metro"	"3"	"2000"	"2000"	33	1138503	2.90	3.08	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2001"	"2001"	34	1146929	2.96	3.11	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2002"	"2002"	27	1153138	2.34	2.45	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2003"	"2003"	35	1159478	3.02	3.12	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2004"	"2004"	27	1167714	2.31	2.35	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2005"	"2005"	47	1180109	3.98	3.99	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2006"	"2006"	27	1202185	2.25	2.18	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2007"	"2007"	36	1218101	2.96	2.85	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2008"	"2008"	31	1233240	2.51	2.52	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2009"	"2009"	42	1248198	3.36	3.20	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2010"	"2010"	35	1258068	2.78	2.63	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2011"	"2011"	31	1271237	2.44	2.43	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2012"	"2012"	27	1279639	2.11	2.10	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2013"	"2013"	38	1282911	2.96	2.81	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2014"	"2014"	35	1288958	2.72	2.53	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2015"	"2015"	42	1293599	3.25	2.98	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2016"	"2016"	44	1296650	3.39	3.12	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"1999"	"1999"	32	1089276	2.94	2.84	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2000"	"2000"	34	1093902	3.11	3.06	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2001"	"2001"	27	1102177	2.45	2.32	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2002"	"2002"	35	1107921	3.16	3.04	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2003"	"2003"	31	1118032	2.77	2.66	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2004"	"2004"	28	1129680	2.48	2.37	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2005"	"2005"	40	1147271	3.49	3.21	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2006"	"2006"	44	1167518	3.77	3.49	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2007"	"2007"	50	1182639	4.23	3.82	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2008"	"2008"	40	1197658	3.34	3.06	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2009"	"2009"	50	1213822	4.12	3.73	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2010"	"2010"	48	1222281	3.93	3.40	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2011"	"2011"	40	1232191	3.25	2.84	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2012"	"2012"	59	1241965	4.75	4.39	0.04%
	"Alabama"	"01"	"Small Metro"	"4"	"2013"	"2013"	35	1251150	2.80	2.50	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2014"	"2014"	45	1260392	3.57	3.10	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2015"	"2015"	40	1267088	3.16	2.66	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2016"	"2016"	42	1272731	3.30	2.72	0.03%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"1999"	"1999"	14	510099	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2000"	"2000"	12	511460	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2001"	"2001"	21	511896	4.10	3.77	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2002"	"2002"	14	511793	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2003"	"2003"	17	512778	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2004"	"2004"	13	514635	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2005"	"2005"	18	516692	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2006"	"2006"	18	520060	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2007"	"2007"	15	523927	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2008"	"2008"	12	528462	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2009"	"2009"	22	530106	4.15	3.75	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2010"	"2010"	17	531615	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2011"	"2011"	18	531126	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2012"	"2012"	21	532769	3.94	3.39	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2013"	"2013"	19	530835	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2014"	"2014"	22	530367	4.15	3.34	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2015"	"2015"	13	529811	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2016"	"2016"	10	528039	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"1999"	"1999"	14	649909	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2000"	"2000"	24	650997	3.69	3.39	0.02%
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2001"	"2001"	18	647550	Unreliable	Unreliable	0.01%
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2002"	"2002"	20	644271	3.10	2.83	0.01%
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2003"	"2003"	15	642317	Unreliable	Unreliable	0.01%
