"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"Large Central Metro"	"1"	"1999"	"1999"	253	662845	38.17	36.12	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2000"	"2000"	246	662047	37.16	35.22	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2001"	"2001"	228	660197	34.54	32.60	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2002"	"2002"	246	657518	37.41	35.24	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2003"	"2003"	243	657513	36.96	34.89	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2004"	"2004"	263	656023	40.09	37.88	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2005"	"2005"	231	654919	35.27	32.72	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2006"	"2006"	247	655893	37.66	35.39	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2007"	"2007"	195	655163	29.76	27.71	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2008"	"2008"	223	656510	33.97	30.86	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2009"	"2009"	193	658441	29.31	26.73	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2010"	"2010"	200	658466	30.37	27.92	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2011"	"2011"	192	658931	29.14	25.91	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2012"	"2012"	182	660009	27.58	24.59	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2013"	"2013"	186	659479	28.20	24.93	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2014"	"2014"	183	660793	27.69	24.03	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2015"	"2015"	169	660367	25.59	21.72	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2016"	"2016"	151	659521	22.90	19.15	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"1999"	"1999"	86	384595	22.36	25.19	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2000"	"2000"	75	390191	19.22	22.19	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2001"	"2001"	100	398885	25.07	28.68	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2002"	"2002"	101	405448	24.91	27.50	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2003"	"2003"	82	413373	19.84	21.75	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2004"	"2004"	106	422181	25.11	28.25	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2005"	"2005"	92	431399	21.33	23.25	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2006"	"2006"	77	442925	17.38	18.04	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2007"	"2007"	88	452093	19.47	19.16	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2008"	"2008"	83	460591	18.02	19.29	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2009"	"2009"	54	466830	11.57	11.68	0.00%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2010"	"2010"	80	469581	17.04	16.48	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2011"	"2011"	84	473333	17.75	17.23	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2012"	"2012"	74	476641	15.53	14.49	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2013"	"2013"	87	480821	18.09	16.40	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2014"	"2014"	65	482979	13.46	12.29	0.00%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2015"	"2015"	63	485280	12.98	11.26	0.00%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2016"	"2016"	63	487896	12.91	10.58	0.00%
	"Alabama"	"01"	"Medium Metro"	"3"	"1999"	"1999"	381	1133417	33.62	37.27	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2000"	"2000"	360	1138503	31.62	34.63	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2001"	"2001"	391	1146929	34.09	37.19	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2002"	"2002"	444	1153138	38.50	41.38	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2003"	"2003"	384	1159478	33.12	35.29	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2004"	"2004"	390	1167714	33.40	35.07	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2005"	"2005"	407	1180109	34.49	35.66	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2006"	"2006"	396	1202185	32.94	33.73	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2007"	"2007"	390	1218101	32.02	32.46	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2008"	"2008"	430	1233240	34.87	34.92	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2009"	"2009"	393	1248198	31.49	31.38	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2010"	"2010"	363	1258068	28.85	28.42	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2011"	"2011"	345	1271237	27.14	26.02	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2012"	"2012"	354	1279639	27.66	26.49	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2013"	"2013"	341	1282911	26.58	24.89	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2014"	"2014"	370	1288958	28.71	26.33	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2015"	"2015"	390	1293599	30.15	26.75	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2016"	"2016"	351	1296650	27.07	23.79	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"1999"	"1999"	262	1089276	24.05	23.60	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2000"	"2000"	285	1093902	26.05	25.40	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2001"	"2001"	280	1102177	25.40	24.62	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2002"	"2002"	298	1107921	26.90	25.91	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2003"	"2003"	319	1118032	28.53	27.47	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2004"	"2004"	308	1129680	27.26	26.07	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2005"	"2005"	300	1147271	26.15	24.54	0.02%
	"Alabama"	"01"	"Small Metro"	"4"	"2006"	"2006"	346	1167518	29.64	28.11	0.03%
	"Alabama"	"01"	"Small Metro"	"4"	"2007"	"2007"	302	1182639	25.54	23.95	0.02%
