"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"Large Central Metro"	"1"	"1999"	"1999"	1802	662845	271.86	254.42
	"Alabama"	"01"	"Large Central Metro"	"1"	"2000"	"2000"	1844	662047	278.53	259.82
	"Alabama"	"01"	"Large Central Metro"	"1"	"2001"	"2001"	1804	660197	273.25	256.24
	"Alabama"	"01"	"Large Central Metro"	"1"	"2002"	"2002"	1852	657518	281.67	264.08
	"Alabama"	"01"	"Large Central Metro"	"1"	"2003"	"2003"	1820	657513	276.80	259.98
	"Alabama"	"01"	"Large Central Metro"	"1"	"2004"	"2004"	1734	656023	264.32	247.69
	"Alabama"	"01"	"Large Central Metro"	"1"	"2005"	"2005"	1693	654919	258.51	240.44
	"Alabama"	"01"	"Large Central Metro"	"1"	"2006"	"2006"	1643	655893	250.50	230.86
	"Alabama"	"01"	"Large Central Metro"	"1"	"2007"	"2007"	1533	655163	233.99	214.52
	"Alabama"	"01"	"Large Central Metro"	"1"	"2008"	"2008"	1576	656510	240.06	217.95
	"Alabama"	"01"	"Large Central Metro"	"1"	"2009"	"2009"	1513	658441	229.79	207.44
	"Alabama"	"01"	"Large Central Metro"	"1"	"2010"	"2010"	1473	658466	223.70	201.95
	"Alabama"	"01"	"Large Central Metro"	"1"	"2011"	"2011"	1411	658931	214.13	188.99
	"Alabama"	"01"	"Large Central Metro"	"1"	"2012"	"2012"	1530	660009	231.82	203.82
	"Alabama"	"01"	"Large Central Metro"	"1"	"2013"	"2013"	1520	659479	230.48	199.63
	"Alabama"	"01"	"Large Central Metro"	"1"	"2014"	"2014"	1560	660793	236.08	201.28
	"Alabama"	"01"	"Large Central Metro"	"1"	"2015"	"2015"	1509	660367	228.51	194.71
	"Alabama"	"01"	"Large Central Metro"	"1"	"2016"	"2016"	1397	659521	211.82	177.02
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"1999"	"1999"	1078	384595	280.29	325.43
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2000"	"2000"	1060	390191	271.66	314.09
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2001"	"2001"	1020	398885	255.71	290.03
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2002"	"2002"	1077	405448	265.63	299.45
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2003"	"2003"	1124	413373	271.91	306.61
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2004"	"2004"	1128	422181	267.18	299.67
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2005"	"2005"	1074	431399	248.96	278.68
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2006"	"2006"	1156	442925	260.99	289.32
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2007"	"2007"	1001	452093	221.41	241.28
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2008"	"2008"	1016	460591	220.59	235.90
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2009"	"2009"	1023	466830	219.14	233.43
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2010"	"2010"	999	469581	212.74	220.88
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2011"	"2011"	1108	473333	234.08	238.42
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2012"	"2012"	1096	476641	229.94	226.51
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2013"	"2013"	1084	480821	225.45	215.30
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2014"	"2014"	1105	482979	228.79	213.09
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2015"	"2015"	1286	485280	265.00	240.74
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2016"	"2016"	1276	487896	261.53	230.48
	"Alabama"	"01"	"Medium Metro"	"3"	"1999"	"1999"	3031	1133417	267.42	303.70
	"Alabama"	"01"	"Medium Metro"	"3"	"2000"	"2000"	2919	1138503	256.39	288.91
	"Alabama"	"01"	"Medium Metro"	"3"	"2001"	"2001"	2874	1146929	250.58	280.32
	"Alabama"	"01"	"Medium Metro"	"3"	"2002"	"2002"	2841	1153138	246.37	273.27
	"Alabama"	"01"	"Medium Metro"	"3"	"2003"	"2003"	2812	1159478	242.52	268.68
	"Alabama"	"01"	"Medium Metro"	"3"	"2004"	"2004"	2791	1167714	239.01	262.01
	"Alabama"	"01"	"Medium Metro"	"3"	"2005"	"2005"	2831	1180109	239.89	257.72
	"Alabama"	"01"	"Medium Metro"	"3"	"2006"	"2006"	2718	1202185	226.09	240.88
	"Alabama"	"01"	"Medium Metro"	"3"	"2007"	"2007"	2592	1218101	212.79	224.56
	"Alabama"	"01"	"Medium Metro"	"3"	"2008"	"2008"	2665	1233240	216.10	224.92
	"Alabama"	"01"	"Medium Metro"	"3"	"2009"	"2009"	2570	1248198	205.90	211.58
	"Alabama"	"01"	"Medium Metro"	"3"	"2010"	"2010"	2608	1258068	207.30	210.85
	"Alabama"	"01"	"Medium Metro"	"3"	"2011"	"2011"	2639	1271237	207.59	207.37
	"Alabama"	"01"	"Medium Metro"	"3"	"2012"	"2012"	2761	1279639	215.76	210.52
	"Alabama"	"01"	"Medium Metro"	"3"	"2013"	"2013"	2909	1282911	226.75	216.93
	"Alabama"	"01"	"Medium Metro"	"3"	"2014"	"2014"	2945	1288958	228.48	214.45
	"Alabama"	"01"	"Medium Metro"	"3"	"2015"	"2015"	2941	1293599	227.35	209.27
	"Alabama"	"01"	"Medium Metro"	"3"	"2016"	"2016"	2964	1296650	228.59	207.13
	"Alabama"	"01"	"Small Metro"	"4"	"1999"	"1999"	3227	1089276	296.25	295.51
	"Alabama"	"01"	"Small Metro"	"4"	"2000"	"2000"	3315	1093902	303.04	299.30
	"Alabama"	"01"	"Small Metro"	"4"	"2001"	"2001"	3377	1102177	306.39	301.61
	"Alabama"	"01"	"Small Metro"	"4"	"2002"	"2002"	3107	1107921	280.44	275.83
	"Alabama"	"01"	"Small Metro"	"4"	"2003"	"2003"	3229	1118032	288.81	282.02
	"Alabama"	"01"	"Small Metro"	"4"	"2004"	"2004"	3108	1129680	275.12	268.50
	"Alabama"	"01"	"Small Metro"	"4"	"2005"	"2005"	3255	1147271	283.72	274.66
	"Alabama"	"01"	"Small Metro"	"4"	"2006"	"2006"	3099	1167518	265.43	255.87
	"Alabama"	"01"	"Small Metro"	"4"	"2007"	"2007"	2999	1182639	253.59	241.33
	"Alabama"	"01"	"Small Metro"	"4"	"2008"	"2008"	3035	1197658	253.41	239.65
	"Alabama"	"01"	"Small Metro"	"4"	"2009"	"2009"	3136	1213822	258.36	241.19
	"Alabama"	"01"	"Small Metro"	"4"	"2010"	"2010"	3144	1222281	257.22	238.00
	"Alabama"	"01"	"Small Metro"	"4"	"2011"	"2011"	3065	1232191	248.74	227.34
	"Alabama"	"01"	"Small Metro"	"4"	"2012"	"2012"	3068	1241965	247.03	221.62
	"Alabama"	"01"	"Small Metro"	"4"	"2013"	"2013"	3301	1251150	263.84	234.02
	"Alabama"	"01"	"Small Metro"	"4"	"2014"	"2014"	3200	1260392	253.89	221.49
	"Alabama"	"01"	"Small Metro"	"4"	"2015"	"2015"	3493	1267088	275.67	237.90
	"Alabama"	"01"	"Small Metro"	"4"	"2016"	"2016"	3460	1272731	271.86	230.18
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"1999"	"1999"	1760	510099	345.03	328.58
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2000"	"2000"	1803	511460	352.52	333.08
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2001"	"2001"	1749	511896	341.67	321.19
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2002"	"2002"	1861	511793	363.62	344.02
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2003"	"2003"	1825	512778	355.90	338.54
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2004"	"2004"	1732	514635	336.55	318.60
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2005"	"2005"	1737	516692	336.18	312.96
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2006"	"2006"	1773	520060	340.92	312.79
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2007"	"2007"	1689	523927	322.37	295.72
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2008"	"2008"	1649	528462	312.04	284.47
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2009"	"2009"	1651	530106	311.45	282.15
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2010"	"2010"	1641	531615	308.68	278.78
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2011"	"2011"	1591	531126	299.55	267.27
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2012"	"2012"	1584	532769	297.31	258.81
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2013"	"2013"	1530	530835	288.23	245.77
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2014"	"2014"	1495	530367	281.88	240.26
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2015"	"2015"	1541	529811	290.86	242.14
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"2016"	"2016"	1640	528039	310.58	254.26
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"1999"	"1999"	2521	649909	387.90	335.52
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2000"	"2000"	2465	650997	378.65	324.60
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2001"	"2001"	2383	647550	368.00	314.84
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2002"	"2002"	2459	644271	381.67	327.15
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2003"	"2003"	2340	642317	364.31	311.55
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2004"	"2004"	2281	640496	356.13	306.27
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2005"	"2005"	2279	639415	356.42	301.59
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2006"	"2006"	2194	640400	342.60	289.91
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2007"	"2007"	2112	640917	329.53	276.22
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2008"	"2008"	2133	641745	332.38	276.68
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2009"	"2009"	2128	640541	332.22	275.95
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2010"	"2010"	2218	639725	346.71	283.80
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2011"	"2011"	2128	635922	334.63	271.53
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2012"	"2012"	1997	631000	316.48	251.57
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2013"	"2013"	2128	628526	338.57	263.73
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2014"	"2014"	2156	625888	344.47	263.48
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2015"	"2015"	2211	622834	354.99	267.51
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"2016"	"2016"	2095	618463	338.74	250.75
	"Alaska"	"02"	"Medium Metro"	"3"	"1999"	"1999"	296	317172	93.32	211.41
	"Alaska"	"02"	"Medium Metro"	"3"	"2000"	"2000"	300	319605	93.87	215.88
	"Alaska"	"02"	"Medium Metro"	"3"	"2001"	"2001"	289	326081	88.63	170.28
	"Alaska"	"02"	"Medium Metro"	"3"	"2002"	"2002"	284	332582	85.39	162.75
	"Alaska"	"02"	"Medium Metro"	"3"	"2003"	"2003"	305	337730	90.31	176.21
	"Alaska"	"02"	"Medium Metro"	"3"	"2004"	"2004"	295	345245	85.45	149.30
	"Alaska"	"02"	"Medium Metro"	"3"	"2005"	"2005"	349	350903	99.46	175.75
	"Alaska"	"02"	"Medium Metro"	"3"	"2006"	"2006"	344	358718	95.90	175.00
	"Alaska"	"02"	"Medium Metro"	"3"	"2007"	"2007"	319	360194	88.56	152.16
	"Alaska"	"02"	"Medium Metro"	"3"	"2008"	"2008"	325	365633	88.89	147.37
	"Alaska"	"02"	"Medium Metro"	"3"	"2009"	"2009"	337	374562	89.97	140.79
	"Alaska"	"02"	"Medium Metro"	"3"	"2010"	"2010"	340	380821	89.28	141.04
	"Alaska"	"02"	"Medium Metro"	"3"	"2011"	"2011"	365	387516	94.19	141.86
	"Alaska"	"02"	"Medium Metro"	"3"	"2012"	"2012"	351	392535	89.42	129.10
	"Alaska"	"02"	"Medium Metro"	"3"	"2013"	"2013"	346	396142	87.34	123.37
	"Alaska"	"02"	"Medium Metro"	"3"	"2014"	"2014"	386	398892	96.77	137.45
	"Alaska"	"02"	"Medium Metro"	"3"	"2015"	"2015"	387	399790	96.80	132.22
	"Alaska"	"02"	"Medium Metro"	"3"	"2016"	"2016"	406	402557	100.86	126.83
	"Alaska"	"02"	"Small Metro"	"4"	"1999"	"1999"	76	83390	91.14	238.53
	"Alaska"	"02"	"Small Metro"	"4"	"2000"	"2000"	79	82840	95.36	254.25
	"Alaska"	"02"	"Small Metro"	"4"	"2001"	"2001"	76	84814	89.61	221.03
	"Alaska"	"02"	"Small Metro"	"4"	"2002"	"2002"	48	86095	55.75	145.31
	"Alaska"	"02"	"Small Metro"	"4"	"2003"	"2003"	68	86885	78.26	186.64
	"Alaska"	"02"	"Small Metro"	"4"	"2004"	"2004"	81	89043	90.97	178.88
	"Alaska"	"02"	"Small Metro"	"4"	"2005"	"2005"	72	90431	79.62	164.61
	"Alaska"	"02"	"Small Metro"	"4"	"2006"	"2006"	62	90545	68.47	148.31
