"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"Large Central Metro"	"1"	"1999"	"1999"	1019	662845	153.73	143.96	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2000"	"2000"	1028	662047	155.28	145.01	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2001"	"2001"	1006	660197	152.38	142.80	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2002"	"2002"	994	657518	151.17	141.69	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2003"	"2003"	940	657513	142.96	134.38	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2004"	"2004"	923	656023	140.70	131.59	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2005"	"2005"	818	654919	124.90	116.26	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2006"	"2006"	786	655893	119.84	110.29	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2007"	"2007"	742	655163	113.25	103.73	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2008"	"2008"	755	656510	115.00	104.57	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2009"	"2009"	697	658441	105.86	95.80	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2010"	"2010"	666	658466	101.14	91.07	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2011"	"2011"	599	658931	90.90	80.69	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2012"	"2012"	630	660009	95.45	84.93	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2013"	"2013"	640	659479	97.05	84.50	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2014"	"2014"	625	660793	94.58	81.22	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2015"	"2015"	556	660367	84.20	70.97	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2016"	"2016"	509	659521	77.18	64.00	0.01%
"Total"	"Alabama"	"01"	"Large Central Metro"	"1"			13933	11854635	117.53	106.41	0.18%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"1999"	"1999"	584	384595	151.85	171.91	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2000"	"2000"	588	390191	150.70	171.53	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2001"	"2001"	542	398885	135.88	151.55	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2002"	"2002"	558	405448	137.63	151.88	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2003"	"2003"	553	413373	133.78	147.28	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2004"	"2004"	583	422181	138.09	151.54	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2005"	"2005"	458	431399	106.17	116.77	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2006"	"2006"	516	442925	116.50	128.30	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2007"	"2007"	433	452093	95.78	103.39	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2008"	"2008"	471	460591	102.26	107.38	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2009"	"2009"	480	466830	102.82	107.22	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2010"	"2010"	432	469581	92.00	93.27	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2011"	"2011"	454	473333	95.92	95.89	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2012"	"2012"	476	476641	99.87	97.33	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2013"	"2013"	466	480821	96.92	90.59	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2014"	"2014"	432	482979	89.44	82.03	0.01%
