"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"Large Central Metro"	"1"	"1999"	"1999"	589	662845	88.86	82.36	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2000"	"2000"	571	662047	86.25	80.04	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2001"	"2001"	578	660197	87.55	81.64	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2002"	"2002"	615	657518	93.53	87.41	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2003"	"2003"	544	657513	82.74	77.62	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2004"	"2004"	530	656023	80.79	75.52	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2005"	"2005"	496	654919	75.73	70.11	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2006"	"2006"	477	655893	72.73	67.09	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2007"	"2007"	460	655163	70.21	64.28	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2008"	"2008"	519	656510	79.05	71.08	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2009"	"2009"	419	658441	63.64	57.34	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2010"	"2010"	390	658466	59.23	53.26	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2011"	"2011"	404	658931	61.31	54.25	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2012"	"2012"	417	660009	63.18	55.25	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2013"	"2013"	399	659479	60.50	51.90	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2014"	"2014"	437	660793	66.13	56.92	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2015"	"2015"	484	660367	73.29	61.95	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2016"	"2016"	490	659521	74.30	61.00	0.02%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"1999"	"1999"	217	384595	56.42	66.68	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2000"	"2000"	210	390191	53.82	65.66	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2001"	"2001"	222	398885	55.66	64.28	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2002"	"2002"	220	405448	54.26	63.33	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2003"	"2003"	272	413373	65.80	75.59	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2004"	"2004"	236	422181	55.90	64.62	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2005"	"2005"	218	431399	50.53	58.07	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2006"	"2006"	205	442925	46.28	52.29	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2007"	"2007"	204	452093	45.12	50.67	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2008"	"2008"	217	460591	47.11	53.19	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2009"	"2009"	198	466830	42.41	46.10	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2010"	"2010"	208	469581	44.29	48.46	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2011"	"2011"	199	473333	42.04	44.15	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2012"	"2012"	215	476641	45.11	45.71	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2013"	"2013"	197	480821	40.97	40.34	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2014"	"2014"	237	482979	49.07	47.22	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2015"	"2015"	223	485280	45.95	42.61	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2016"	"2016"	276	487896	56.57	51.34	0.01%
	"Alabama"	"01"	"Medium Metro"	"3"	"1999"	"1999"	644	1133417	56.82	65.52	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2000"	"2000"	688	1138503	60.43	68.53	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2001"	"2001"	616	1146929	53.71	60.70	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2002"	"2002"	605	1153138	52.47	58.80	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2003"	"2003"	632	1159478	54.51	60.76	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2004"	"2004"	683	1167714	58.49	64.79	0.03%
	"Alabama"	"01"	"Medium Metro"	"3"	"2005"	"2005"	634	1180109	53.72	58.28	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2006"	"2006"	595	1202185	49.49	53.23	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2007"	"2007"	626	1218101	51.39	55.04	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2008"	"2008"	619	1233240	50.19	52.60	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2009"	"2009"	578	1248198	46.31	48.29	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2010"	"2010"	614	1258068	48.80	50.23	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2011"	"2011"	616	1271237	48.46	49.12	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2012"	"2012"	616	1279639	48.14	47.71	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2013"	"2013"	615	1282911	47.94	45.95	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2014"	"2014"	609	1288958	47.25	44.81	0.02%
