"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"Large Central Metro"	"1"	"1999"	"1999"	245	662845	36.96	34.15	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2000"	"2000"	196	662047	29.61	27.28	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2001"	"2001"	184	660197	27.87	25.77	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2002"	"2002"	203	657518	30.87	28.78	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2003"	"2003"	183	657513	27.83	26.07	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2004"	"2004"	177	656023	26.98	25.07	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2005"	"2005"	147	654919	22.45	20.93	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2006"	"2006"	137	655893	20.89	19.03	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2007"	"2007"	126	655163	19.23	17.80	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2008"	"2008"	134	656510	20.41	18.55	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2009"	"2009"	130	658441	19.74	17.84	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2010"	"2010"	148	658466	22.48	20.07	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2011"	"2011"	140	658931	21.25	19.04	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2012"	"2012"	129	660009	19.55	17.17	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2013"	"2013"	133	659479	20.17	17.22	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2014"	"2014"	127	660793	19.22	16.83	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2015"	"2015"	157	660367	23.77	20.26	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2016"	"2016"	139	659521	21.08	17.93	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"1999"	"1999"	101	384595	26.26	32.48	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2000"	"2000"	95	390191	24.35	29.72	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2001"	"2001"	100	398885	25.07	30.83	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2002"	"2002"	101	405448	24.91	30.05	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2003"	"2003"	107	413373	25.88	32.38	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2004"	"2004"	114	422181	27.00	33.01	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2005"	"2005"	88	431399	20.40	23.66	0.01%
