"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"Large Central Metro"	"1"	"1999"	"1999"	88	662845	13.28	13.10	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2000"	"2000"	85	662047	12.84	12.63	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2001"	"2001"	74	660197	11.21	11.14	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2002"	"2002"	79	657518	12.01	11.82	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2003"	"2003"	73	657513	11.10	10.95	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2004"	"2004"	78	656023	11.89	11.52	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2005"	"2005"	80	654919	12.22	11.97	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2006"	"2006"	72	655893	10.98	10.90	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2007"	"2007"	70	655163	10.68	10.61	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2008"	"2008"	108	656510	16.45	16.08	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2009"	"2009"	105	658441	15.95	15.25	0.02%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2010"	"2010"	70	658466	10.63	10.32	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2011"	"2011"	85	658931	12.90	12.66	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2012"	"2012"	88	660009	13.33	13.36	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2013"	"2013"	86	659479	13.04	12.59	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2014"	"2014"	74	660793	11.20	10.64	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2015"	"2015"	97	660367	14.69	14.19	0.01%
	"Alabama"	"01"	"Large Central Metro"	"1"	"2016"	"2016"	84	659521	12.74	12.10	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"1999"	"1999"	50	384595	13.00	13.09	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2000"	"2000"	66	390191	16.91	17.03	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2001"	"2001"	40	398885	10.03	10.01	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2002"	"2002"	48	405448	11.84	11.98	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2003"	"2003"	55	413373	13.31	13.18	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2004"	"2004"	56	422181	13.26	13.42	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2005"	"2005"	47	431399	10.89	10.82	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2006"	"2006"	71	442925	16.03	16.19	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2007"	"2007"	80	452093	17.70	17.17	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2008"	"2008"	65	460591	14.11	14.05	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2009"	"2009"	71	466830	15.21	14.89	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2010"	"2010"	91	469581	19.38	19.25	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2011"	"2011"	76	473333	16.06	15.77	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2012"	"2012"	88	476641	18.46	18.13	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2013"	"2013"	72	480821	14.97	14.42	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2014"	"2014"	85	482979	17.60	17.08	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2015"	"2015"	87	485280	17.93	17.59	0.01%
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"2016"	"2016"	79	487896	16.19	15.38	0.01%
	"Alabama"	"01"	"Medium Metro"	"3"	"1999"	"1999"	132	1133417	11.65	11.81	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2000"	"2000"	138	1138503	12.12	12.28	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2001"	"2001"	130	1146929	11.33	11.40	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2002"	"2002"	120	1153138	10.41	10.52	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2003"	"2003"	118	1159478	10.18	10.18	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2004"	"2004"	123	1167714	10.53	10.41	0.02%
	"Alabama"	"01"	"Medium Metro"	"3"	"2005"	"2005"	124	1180109	10.51	10.37	0.02%
